organizationSlug,branchCode,categoryName,taxCategoryName,name,price,itemType,station,sortOrder,isActive,sku,description,imageUrl,metadata
nimbus,TAPAS_DOWNTOWN,Coffee & Tea,VAT 18%,Cafe Latte,12000.00,DRINK,BAR,16,true,TA-016,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Coffee & Tea,VAT 18%,Spiced Chai,11000.00,DRINK,BAR,17,true,TA-017,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Zero-Proof Bar,VAT 18%,Mint Lime Spritz,16000.00,DRINK,BAR,18,true,TA-018,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Zero-Proof Bar,VAT 18%,Ginger Hibiscus Cooler,17000.00,DRINK,BAR,19,true,TA-019,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,TAPAS_DOWNTOWN,Fresh Juice,VAT 18%,Mango Passion Juice,14000.00,DRINK,BAR,20,true,TA-020,Demo Tapas Downtown menu item,,"{""branchPersonality"": ""Tapas Downtown""}"
nimbus,ROOFTOP_BAR,Small Plates,VAT 18%,Crispy Plantain Cups,20200.00,FOOD,KITCHEN,1,true,RO-001,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Small Plates,VAT 18%,Tomato Bruschetta,24600.00,FOOD,COLD_KITCHEN,2,true,RO-002,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Small Plates,VAT 18%,Sesame Chicken Skewers,31400.00,FOOD,KITCHEN,3,true,RO-003,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Small Plates,VAT 18%,Halloumi Bites,29100.00,FOOD,KITCHEN,4,true,RO-004,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Mains,VAT 18%,Garden Vegetable Pasta,40300.00,FOOD,KITCHEN,6,true,RO-006,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Mains,VAT 18%,Tilapia Lemon Herb,53800.00,FOOD,KITCHEN,8,true,RO-008,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Sides,VAT 18%,Herb Fries,13400.00,FOOD,KITCHEN,10,true,RO-010,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Sides,VAT 18%,Seasonal Salad,16800.00,FOOD,COLD_KITCHEN,11,true,RO-011,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Sides,VAT 18%,Garlic Flatbread,11200.00,FOOD,KITCHEN,12,true,RO-012,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Desserts,VAT 18%,Passion Fruit Cheesecake,23500.00,FOOD,DESSERT,13,true,RO-013,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Desserts,VAT 18%,Chocolate Date Tart,26900.00,FOOD,DESSERT,14,true,RO-014,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Coffee & Tea,VAT 18%,Americano,10100.00,DRINK,BAR,15,true,RO-015,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Coffee & Tea,VAT 18%,Cafe Latte,13400.00,DRINK,BAR,16,true,RO-016,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Coffee & Tea,VAT 18%,Spiced Chai,12300.00,DRINK,BAR,17,true,RO-017,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Zero-Proof Bar,VAT 18%,Mint Lime Sky Spritz,17900.00,DRINK,BAR,18,true,RO-018,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Zero-Proof Bar,VAT 18%,Ginger Hibiscus Rooftop Cooler,19000.00,DRINK,BAR,19,true,RO-019,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,ROOFTOP_BAR,Fresh Juice,VAT 18%,Mango Passion Juice,15700.00,DRINK,BAR,20,true,RO-020,Demo Rooftop Bar menu item,,"{""branchPersonality"": ""Rooftop Bar""}"
nimbus,GARDEN_CAFE,Small Plates,VAT 18%,Crispy Plantain Cups,16600.00,FOOD,KITCHEN,1,true,GA-001,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Small Plates,VAT 18%,Tomato Bruschetta,20200.00,FOOD,COLD_KITCHEN,2,true,GA-002,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Small Plates,VAT 18%,Sesame Chicken Skewers,25800.00,FOOD,KITCHEN,3,true,GA-003,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Small Plates,VAT 18%,Halloumi Bites,23900.00,FOOD,KITCHEN,4,true,GA-004,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Mains,VAT 18%,Grilled Chicken Bowl,38600.00,FOOD,KITCHEN,5,true,GA-005,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Mains,VAT 18%,Garden Vegetable Pasta,33100.00,FOOD,KITCHEN,6,true,GA-006,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Mains,VAT 18%,Beef Fillet Plate,51500.00,FOOD,KITCHEN,7,true,GA-007,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Mains,VAT 18%,Tilapia Lemon Herb,44200.00,FOOD,KITCHEN,8,true,GA-008,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Mains,VAT 18%,Mushroom Risotto,35000.00,FOOD,KITCHEN,9,true,GA-009,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Sides,VAT 18%,Herb Fries,11000.00,FOOD,KITCHEN,10,true,GA-010,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Sides,VAT 18%,Seasonal Salad,13800.00,FOOD,COLD_KITCHEN,11,true,GA-011,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Sides,VAT 18%,Garlic Flatbread,9200.00,FOOD,KITCHEN,12,true,GA-012,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Desserts,VAT 18%,Passion Fruit Cheesecake,19300.00,FOOD,DESSERT,13,true,GA-013,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Desserts,VAT 18%,Chocolate Date Tart,22100.00,FOOD,DESSERT,14,true,GA-014,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Coffee & Tea,VAT 18%,Americano,8300.00,DRINK,BAR,15,true,GA-015,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Coffee & Tea,VAT 18%,Cafe Latte,11000.00,DRINK,BAR,16,true,GA-016,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Coffee & Tea,VAT 18%,Spiced Chai,10100.00,DRINK,BAR,17,true,GA-017,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Fresh Juice,VAT 18%,Mint Lime Spritz,14700.00,DRINK,BAR,18,true,GA-018,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Fresh Juice,VAT 18%,Ginger Hibiscus Cooler,15600.00,DRINK,BAR,19,true,GA-019,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,GARDEN_CAFE,Fresh Juice,VAT 18%,Mango Passion Juice,12900.00,DRINK,BAR,20,true,GA-020,Demo Garden Cafe menu item,,"{""branchPersonality"": ""Garden Cafe""}"
nimbus,EVENTS_KITCHEN,Small Plates,VAT 18%,Crispy Plantain Cups,21200.00,FOOD,KITCHEN,1,true,EV-001,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Small Plates,VAT 18%,Tomato Bruschetta,26000.00,FOOD,COLD_KITCHEN,2,true,EV-002,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Small Plates,VAT 18%,Sesame Chicken Skewers,33000.00,FOOD,KITCHEN,3,true,EV-003,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Small Plates,VAT 18%,Halloumi Bites,30700.00,FOOD,KITCHEN,4,true,EV-004,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Mains,VAT 18%,Grilled Chicken Bowl,49600.00,FOOD,KITCHEN,5,true,EV-005,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Mains,VAT 18%,Garden Vegetable Pasta,42500.00,FOOD,KITCHEN,6,true,EV-006,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Mains,VAT 18%,Beef Fillet Plate,66100.00,FOOD,KITCHEN,7,true,EV-007,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Mains,VAT 18%,Tilapia Lemon Herb,56600.00,FOOD,KITCHEN,8,true,EV-008,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Mains,VAT 18%,Mushroom Risotto,44800.00,FOOD,KITCHEN,9,true,EV-009,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Sides,VAT 18%,Herb Fries,14200.00,FOOD,KITCHEN,10,true,EV-010,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Sides,VAT 18%,Seasonal Salad,17700.00,FOOD,COLD_KITCHEN,11,true,EV-011,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Sides,VAT 18%,Garlic Flatbread,11800.00,FOOD,KITCHEN,12,true,EV-012,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Desserts,VAT 18%,Passion Fruit Cheesecake,24800.00,FOOD,DESSERT,13,true,EV-013,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Desserts,VAT 18%,Chocolate Date Tart,28300.00,FOOD,DESSERT,14,true,EV-014,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Coffee & Tea,VAT 18%,Americano,10600.00,DRINK,BAR,15,true,EV-015,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Coffee & Tea,VAT 18%,Cafe Latte,14200.00,DRINK,BAR,16,true,EV-016,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Coffee & Tea,VAT 18%,Spiced Chai,13000.00,DRINK,BAR,17,true,EV-017,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Zero-Proof Bar,VAT 18%,Mint Lime Spritz,18900.00,DRINK,BAR,18,true,EV-018,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Zero-Proof Bar,VAT 18%,Ginger Hibiscus Cooler,20100.00,DRINK,BAR,19,true,EV-019,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Fresh Juice,VAT 18%,Mango Passion Juice,16500.00,DRINK,BAR,20,true,EV-020,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Event Platters,VAT 18%,Banquet Mezze Platter,112100.00,FOOD,KITCHEN,21,true,EV-021,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,EVENTS_KITCHEN,Event Platters,VAT 18%,Corporate Snack Board,92000.00,FOOD,KITCHEN,22,true,EV-022,Demo Events Kitchen / Banquet Hall menu item,,"{""branchPersonality"": ""Events Kitchen / Banquet Hall""}"
nimbus,TAPAS_DOWNTOWN,Small Plates,VAT 18%,Smoked Eggplant Dip,16000.00,FOOD,KITCHEN,100,true,TA-S01,Tapas Downtown signature demo item,,"{""signature"": true}"
nimbus,TAPAS_DOWNTOWN,Small Plates,VAT 18%,Charred Octopus Style Mushroom,20000.00,FOOD,KITCHEN,101,true,TA-S02,Tapas Downtown signature demo item,,"{""signature"": true}"
nimbus,TAPAS_DOWNTOWN,Small Plates,VAT 18%,Chicken Empanada Trio,24000.00,FOOD,KITCHEN,102,true,TA-S03,Tapas Downtown signature demo item,,"{""signature"": true}"
nimbus,TAPAS_DOWNTOWN,Small Plates,VAT 18%,Citrus Greens Bowl,28000.00,FOOD,KITCHEN,103,true,TA-S04,Tapas Downtown signature demo item,,"{""signature"": true}"
nimbus,TAPAS_DOWNTOWN,Small Plates,VAT 18%,Matoke Croquettes,32000.00,FOOD,KITCHEN,104,true,TA-S05,Tapas Downtown signature demo item,,"{""signature"": true}"
nimbus,ROOFTOP_BAR,Small Plates,VAT 18%,Skyline Mezze Cups,16000.00,FOOD,KITCHEN,100,true,RO-S01,Rooftop Bar signature demo item,,"{""signature"": true}"
nimbus,ROOFTOP_BAR,Small Plates,VAT 18%,Cucumber Basil Fizz,20000.00,DRINK,BAR,101,true,RO-S02,Rooftop Bar signature demo item,,"{""signature"": true}"
nimbus,ROOFTOP_BAR,Small Plates,VAT 18%,Rosemary Tonic Highball,24000.00,DRINK,BAR,102,true,RO-S03,Rooftop Bar signature demo item,,"{""signature"": true}"
nimbus,ROOFTOP_BAR,Small Plates,VAT 18%,Cranberry Lime Nojito,28000.00,DRINK,BAR,103,true,RO-S04,Rooftop Bar signature demo item,,"{""signature"": true}"
nimbus,ROOFTOP_BAR,Small Plates,VAT 18%,Night Market Fries,32000.00,FOOD,KITCHEN,104,true,RO-S05,Rooftop Bar signature demo item,,"{""signature"": true}"
nimbus,GARDEN_CAFE,Small Plates,VAT 18%,Avocado Toast Stack,16000.00,FOOD,KITCHEN,100,true,GA-S01,Garden Cafe signature demo item,,"{""signature"": true}"
nimbus,GARDEN_CAFE,Small Plates,VAT 18%,Banana Oat Pancakes,20000.00,FOOD,KITCHEN,101,true,GA-S02,Garden Cafe signature demo item,,"{""signature"": true}"
nimbus,GARDEN_CAFE,Small Plates,VAT 18%,Garden Breakfast Plate,24000.00,FOOD,KITCHEN,102,true,GA-S03,Garden Cafe signature demo item,,"{""signature"": true}"
nimbus,GARDEN_CAFE,Coffee & Tea,VAT 18%,Iced Vanilla Coffee,28000.00,DRINK,BAR,103,true,GA-S04,Garden Cafe signature demo item,,"{""signature"": true}"
nimbus,GARDEN_CAFE,Small Plates,VAT 18%,Berry Yoghurt Bowl,32000.00,FOOD,KITCHEN,104,true,GA-S05,Garden Cafe signature demo item,,"{""signature"": true}"
nimbus,EVENTS_KITCHEN,Event Platters,VAT 18%,Banquet Chicken Tray,24000.00,FOOD,KITCHEN,100,true,EV-S01,Events Kitchen / Banquet Hall signature demo item,,"{""signature"": true}"
nimbus,EVENTS_KITCHEN,Event Platters,VAT 18%,Executive Lunch Box,28000.00,FOOD,KITCHEN,101,true,EV-S02,Events Kitchen / Banquet Hall signature demo item,,"{""signature"": true}"
nimbus,EVENTS_KITCHEN,Event Platters,VAT 18%,Vegetable Lasagna Pan,32000.00,FOOD,KITCHEN,102,true,EV-S03,Events Kitchen / Banquet Hall signature demo item,,"{""signature"": true}"
nimbus,EVENTS_KITCHEN,Event Platters,VAT 18%,Mini Dessert Flight,36000.00,FOOD,DESSERT,103,true,EV-S04,Events Kitchen / Banquet Hall signature demo item,,"{""signature"": true}"
nimbus,EVENTS_KITCHEN,Event Platters,VAT 18%,Conference Tea Service,40000.00,DRINK,BAR,104,true,EV-S05,Events Kitchen / Banquet Hall signature demo item,,"{""signature"": true}"
