branchCode,reservationNumber,amount,status,method,reference,recordedByEmail,metadata
ROOFTOP_BAR,RES-ROOFTOP_BAR-0052,75000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0052,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0055,50000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0055,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0058,100000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0058,cashier@nimbus.demo,"{""demoDeposit"": true}"
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0061,75000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0061,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0064,75000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0064,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0067,100000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0067,cashier@nimbus.demo,"{""demoDeposit"": true}"
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0070,100000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0070,cashier@nimbus.demo,"{""demoDeposit"": true}"
TAPAS_DOWNTOWN,RES-TAPAS_DOWNTOWN-0073,50000.00,RECEIVED,CASH,DEP-RES-TAPAS_DOWNTOWN-0073,cashier@nimbus.demo,"{""demoDeposit"": true}"
TAPAS_DOWNTOWN,RES-TAPAS_DOWNTOWN-0076,100000.00,RECEIVED,CASH,DEP-RES-TAPAS_DOWNTOWN-0076,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0079,50000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0079,cashier@nimbus.demo,"{""demoDeposit"": true}"
TAPAS_DOWNTOWN,RES-TAPAS_DOWNTOWN-0082,100000.00,RECEIVED,CASH,DEP-RES-TAPAS_DOWNTOWN-0082,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0085,50000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0085,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0088,50000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0088,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0091,75000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0091,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0094,50000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0094,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0097,75000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0097,cashier@nimbus.demo,"{""demoDeposit"": true}"
GARDEN_CAFE,RES-GARDEN_CAFE-0100,75000.00,RECEIVED,CASH,DEP-RES-GARDEN_CAFE-0100,cashier@nimbus.demo,"{""demoDeposit"": true}"
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0103,100000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0103,cashier@nimbus.demo,"{""demoDeposit"": true}"
TAPAS_DOWNTOWN,RES-TAPAS_DOWNTOWN-0106,75000.00,RECEIVED,CASH,DEP-RES-TAPAS_DOWNTOWN-0106,cashier@nimbus.demo,"{""demoDeposit"": true}"
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0109,75000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0109,cashier@nimbus.demo,"{""demoDeposit"": true}"
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0112,50000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0112,cashier@nimbus.demo,"{""demoDeposit"": true}"
EVENTS_KITCHEN,RES-EVENTS_KITCHEN-0115,50000.00,RECEIVED,CASH,DEP-RES-EVENTS_KITCHEN-0115,cashier@nimbus.demo,"{""demoDeposit"": true}"
ROOFTOP_BAR,RES-ROOFTOP_BAR-0118,75000.00,RECEIVED,CASH,DEP-RES-ROOFTOP_BAR-0118,cashier@nimbus.demo,"{""demoDeposit"": true}"
