organizationSlug,branchCode,inventoryItemName,batchNumber,qtyReceived,qtyRemaining,unitCost,receivedAt,expiresAt,sourceType,sourceRef
nimbus,TAPAS_DOWNTOWN,Tomatoes,B-TAPAS_DOWNTOWN-006-2,29.10,26.24,4500.00,2026-06-02T11:00:00Z,2026-07-16T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Avocado,B-TAPAS_DOWNTOWN-007-1,119.54,42.31,7000.00,2026-04-16T07:00:00Z,2026-06-02T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Avocado,B-TAPAS_DOWNTOWN-007-2,33.49,18.09,7000.00,2026-05-22T08:00:00Z,2026-07-31T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Plantain,B-TAPAS_DOWNTOWN-008-1,38.00,33.75,5000.00,2026-05-30T13:00:00Z,2026-06-29T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Plantain,B-TAPAS_DOWNTOWN-008-2,21.63,15.67,5000.00,2026-05-29T06:00:00Z,2026-07-03T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Lettuce,B-TAPAS_DOWNTOWN-009-1,28.71,17.43,5500.00,2026-06-19T11:00:00Z,2026-09-30T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Lettuce,B-TAPAS_DOWNTOWN-009-2,52.21,21.76,5500.00,2026-04-15T13:00:00Z,2026-06-26T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Herbs Mix,B-TAPAS_DOWNTOWN-010-1,97.93,73.07,12000.00,2026-05-23T13:00:00Z,2026-08-21T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Herbs Mix,B-TAPAS_DOWNTOWN-010-2,30.95,19.10,12000.00,2026-04-10T09:00:00Z,2026-07-31T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Potatoes,B-TAPAS_DOWNTOWN-011-1,75.78,43.91,3800.00,2026-04-09T08:00:00Z,2026-07-01T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Potatoes,B-TAPAS_DOWNTOWN-011-2,105.95,94.46,3800.00,2026-04-25T11:00:00Z,2026-08-08T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Flatbread Dough,B-TAPAS_DOWNTOWN-012-1,81.75,49.94,6500.00,2026-04-20T10:00:00Z,2026-08-11T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Flatbread Dough,B-TAPAS_DOWNTOWN-012-2,56.89,37.86,6500.00,2026-04-02T10:00:00Z,2026-06-02T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Pasta,B-TAPAS_DOWNTOWN-013-1,99.22,55.73,7000.00,2026-06-09T08:00:00Z,2026-08-18T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Pasta,B-TAPAS_DOWNTOWN-013-2,66.83,52.18,7000.00,2026-05-27T06:00:00Z,2026-07-02T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Rice,B-TAPAS_DOWNTOWN-014-1,42.81,23.83,5200.00,2026-05-30T08:00:00Z,2026-07-22T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Rice,B-TAPAS_DOWNTOWN-014-2,114.86,72.72,5200.00,2026-04-15T09:00:00Z,2026-08-10T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Cheese,B-TAPAS_DOWNTOWN-015-1,93.62,63.88,24000.00,2026-04-28T12:00:00Z,2026-06-22T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Cheese,B-TAPAS_DOWNTOWN-015-2,52.20,34.64,24000.00,2026-06-13T10:00:00Z,2026-09-12T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Yoghurt,B-TAPAS_DOWNTOWN-016-1,86.37,32.94,7500.00,2026-05-29T08:00:00Z,2026-06-25T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Yoghurt,B-TAPAS_DOWNTOWN-016-2,41.89,31.47,7500.00,2026-05-14T06:00:00Z,2026-08-10T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Cream,B-TAPAS_DOWNTOWN-017-1,101.46,39.08,9000.00,2026-04-13T10:00:00Z,2026-08-06T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Cream,B-TAPAS_DOWNTOWN-017-2,103.04,78.25,9000.00,2026-04-06T06:00:00Z,2026-05-04T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Coffee Beans,B-TAPAS_DOWNTOWN-018-1,52.55,45.16,28000.00,2026-06-09T12:00:00Z,2026-09-19T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Coffee Beans,B-TAPAS_DOWNTOWN-018-2,35.30,18.76,28000.00,2026-05-02T10:00:00Z,2026-07-25T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Tea Leaves,B-TAPAS_DOWNTOWN-019-1,69.72,25.62,18000.00,2026-04-02T10:00:00Z,2026-05-26T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Tea Leaves,B-TAPAS_DOWNTOWN-019-2,54.78,45.39,18000.00,2026-04-10T07:00:00Z,2026-07-18T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Mango Pulp,B-TAPAS_DOWNTOWN-020-1,95.04,75.63,8500.00,2026-04-22T07:00:00Z,2026-07-24T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Mango Pulp,B-TAPAS_DOWNTOWN-020-2,110.47,41.60,8500.00,2026-04-09T11:00:00Z,2026-05-06T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Passion Fruit Pulp,B-TAPAS_DOWNTOWN-021-1,72.96,58.02,9200.00,2026-06-07T13:00:00Z,2026-08-28T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Passion Fruit Pulp,B-TAPAS_DOWNTOWN-021-2,50.58,39.22,9200.00,2026-04-06T13:00:00Z,2026-06-27T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Lime Juice,B-TAPAS_DOWNTOWN-022-1,67.95,36.17,7000.00,2026-04-12T13:00:00Z,2026-07-21T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Lime Juice,B-TAPAS_DOWNTOWN-022-2,103.34,43.91,7000.00,2026-06-17T07:00:00Z,2026-07-13T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Ginger Syrup,B-TAPAS_DOWNTOWN-023-1,101.89,88.01,10000.00,2026-06-13T13:00:00Z,2026-09-13T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Ginger Syrup,B-TAPAS_DOWNTOWN-023-2,36.85,13.48,10000.00,2026-05-19T06:00:00Z,2026-06-23T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Hibiscus Syrup,B-TAPAS_DOWNTOWN-024-1,51.24,35.57,11000.00,2026-04-10T11:00:00Z,2026-05-04T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Hibiscus Syrup,B-TAPAS_DOWNTOWN-024-2,25.55,22.82,11000.00,2026-05-20T10:00:00Z,2026-06-17T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Sparkling Water,B-TAPAS_DOWNTOWN-025-1,90.24,34.02,3500.00,2026-04-20T07:00:00Z,2026-07-18T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Sparkling Water,B-TAPAS_DOWNTOWN-025-2,118.07,95.18,3500.00,2026-04-20T12:00:00Z,2026-07-13T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Chocolate,B-TAPAS_DOWNTOWN-026-1,109.32,48.79,16000.00,2026-05-30T08:00:00Z,2026-07-12T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Dates,B-TAPAS_DOWNTOWN-027-1,118.60,45.56,14000.00,2026-05-23T13:00:00Z,2026-06-30T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Sugar,B-TAPAS_DOWNTOWN-028-1,54.59,41.59,4500.00,2026-04-05T10:00:00Z,2026-08-03T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Flour,B-TAPAS_DOWNTOWN-029-1,94.58,85.49,4800.00,2026-06-12T08:00:00Z,2026-07-12T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Cooking Oil,B-TAPAS_DOWNTOWN-030-1,111.95,94.73,9000.00,2026-04-10T07:00:00Z,2026-05-09T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Salt,B-TAPAS_DOWNTOWN-031-1,67.00,27.38,1800.00,2026-05-17T06:00:00Z,2026-08-13T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Black Pepper,B-TAPAS_DOWNTOWN-032-1,23.78,14.13,21000.00,2026-04-27T11:00:00Z,2026-06-03T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Garlic,B-TAPAS_DOWNTOWN-033-1,45.42,33.53,7500.00,2026-05-26T09:00:00Z,2026-07-08T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Onion,B-TAPAS_DOWNTOWN-034-1,43.69,24.51,4000.00,2026-04-27T08:00:00Z,2026-07-26T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Cucumber,B-TAPAS_DOWNTOWN-035-1,106.18,73.59,5000.00,2026-05-31T06:00:00Z,2026-06-24T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Basil,B-TAPAS_DOWNTOWN-036-1,54.21,39.46,14500.00,2026-05-16T07:00:00Z,2026-06-17T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Cranberry Juice,B-TAPAS_DOWNTOWN-037-1,25.88,16.76,8200.00,2026-05-31T12:00:00Z,2026-09-12T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Vanilla Syrup,B-TAPAS_DOWNTOWN-038-1,22.10,14.31,13000.00,2026-04-01T08:00:00Z,2026-06-27T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Oats,B-TAPAS_DOWNTOWN-039-1,65.66,30.15,7600.00,2026-05-25T07:00:00Z,2026-08-23T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Bananas,B-TAPAS_DOWNTOWN-040-1,74.48,54.80,4200.00,2026-05-08T06:00:00Z,2026-07-27T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Mini Dessert Base,B-TAPAS_DOWNTOWN-041-1,115.13,59.92,1200.00,2026-05-03T10:00:00Z,2026-07-06T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Packaging Box,B-TAPAS_DOWNTOWN-042-1,113.72,45.49,900.00,2026-04-09T10:00:00Z,2026-06-30T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Napkins,B-TAPAS_DOWNTOWN-043-1,32.21,22.44,80.00,2026-06-12T06:00:00Z,2026-08-16T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Cleaning Solution,B-TAPAS_DOWNTOWN-044-1,118.42,45.90,6000.00,2026-06-03T06:00:00Z,2026-08-05T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,TAPAS_DOWNTOWN,Receipt Paper Roll,B-TAPAS_DOWNTOWN-045-1,31.39,11.19,2500.00,2026-06-20T12:00:00Z,2026-07-17T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Chicken Breast,B-ROOFTOP_BAR-001-1,64.60,56.94,18900.00,2026-04-24T06:00:00Z,2026-07-15T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Chicken Breast,B-ROOFTOP_BAR-001-2,110.03,44.73,18900.00,2026-05-14T11:00:00Z,2026-07-10T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Beef Fillet,B-ROOFTOP_BAR-002-1,96.14,63.07,33600.00,2026-04-23T12:00:00Z,2026-08-20T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Beef Fillet,B-ROOFTOP_BAR-002-2,68.02,45.05,33600.00,2026-04-23T08:00:00Z,2026-07-22T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Tilapia Fillet,B-ROOFTOP_BAR-003-1,20.68,17.55,27300.00,2026-05-02T07:00:00Z,2026-06-26T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Tilapia Fillet,B-ROOFTOP_BAR-003-2,44.25,27.45,27300.00,2026-05-13T08:00:00Z,2026-06-14T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Mushrooms,B-ROOFTOP_BAR-004-1,116.98,53.37,9450.00,2026-06-18T07:00:00Z,2026-07-29T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Mushrooms,B-ROOFTOP_BAR-004-2,37.89,16.97,9450.00,2026-05-18T10:00:00Z,2026-07-21T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Eggplant,B-ROOFTOP_BAR-005-1,89.15,69.90,6300.00,2026-05-02T08:00:00Z,2026-07-16T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Eggplant,B-ROOFTOP_BAR-005-2,119.00,90.20,6300.00,2026-06-05T10:00:00Z,2026-07-16T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Tomatoes,B-ROOFTOP_BAR-006-1,73.37,47.36,4725.00,2026-05-03T13:00:00Z,2026-06-08T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Tomatoes,B-ROOFTOP_BAR-006-2,32.31,11.48,4725.00,2026-04-26T10:00:00Z,2026-07-20T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Avocado,B-ROOFTOP_BAR-007-1,51.80,31.06,7350.00,2026-05-14T06:00:00Z,2026-09-07T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Avocado,B-ROOFTOP_BAR-007-2,116.73,80.26,7350.00,2026-05-18T06:00:00Z,2026-06-07T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Plantain,B-ROOFTOP_BAR-008-1,70.71,40.58,5250.00,2026-05-19T10:00:00Z,2026-07-08T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Plantain,B-ROOFTOP_BAR-008-2,89.48,64.36,5250.00,2026-05-24T07:00:00Z,2026-07-17T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Lettuce,B-ROOFTOP_BAR-009-1,90.00,46.80,5775.00,2026-05-02T09:00:00Z,2026-08-15T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Lettuce,B-ROOFTOP_BAR-009-2,54.44,37.23,5775.00,2026-05-16T11:00:00Z,2026-07-24T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Herbs Mix,B-ROOFTOP_BAR-010-1,66.79,30.76,12600.00,2026-04-23T11:00:00Z,2026-07-08T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Herbs Mix,B-ROOFTOP_BAR-010-2,79.02,53.85,12600.00,2026-06-01T11:00:00Z,2026-09-23T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Potatoes,B-ROOFTOP_BAR-011-1,91.73,50.04,3990.00,2026-04-27T06:00:00Z,2026-07-15T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Potatoes,B-ROOFTOP_BAR-011-2,66.10,55.55,3990.00,2026-06-06T07:00:00Z,2026-08-26T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Flatbread Dough,B-ROOFTOP_BAR-012-1,70.39,64.78,6825.00,2026-06-13T13:00:00Z,2026-08-27T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Flatbread Dough,B-ROOFTOP_BAR-012-2,29.95,14.13,6825.00,2026-05-22T06:00:00Z,2026-07-16T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Pasta,B-ROOFTOP_BAR-013-1,72.98,35.83,7350.00,2026-05-16T12:00:00Z,2026-08-31T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Pasta,B-ROOFTOP_BAR-013-2,65.30,39.97,7350.00,2026-05-18T06:00:00Z,2026-09-04T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Rice,B-ROOFTOP_BAR-014-1,99.27,37.32,5460.00,2026-04-16T10:00:00Z,2026-08-01T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Rice,B-ROOFTOP_BAR-014-2,79.79,57.94,5460.00,2026-05-26T10:00:00Z,2026-07-19T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Cheese,B-ROOFTOP_BAR-015-1,86.02,30.12,25200.00,2026-04-05T09:00:00Z,2026-05-23T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Cheese,B-ROOFTOP_BAR-015-2,90.08,48.16,25200.00,2026-04-18T11:00:00Z,2026-07-20T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Yoghurt,B-ROOFTOP_BAR-016-1,75.25,65.66,7875.00,2026-04-13T08:00:00Z,2026-05-17T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Yoghurt,B-ROOFTOP_BAR-016-2,61.58,21.60,7875.00,2026-06-06T10:00:00Z,2026-09-18T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Cream,B-ROOFTOP_BAR-017-1,92.20,72.83,9450.00,2026-06-20T09:00:00Z,2026-07-11T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Cream,B-ROOFTOP_BAR-017-2,81.56,37.36,9450.00,2026-06-02T07:00:00Z,2026-09-02T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Coffee Beans,B-ROOFTOP_BAR-018-1,73.84,54.27,29400.00,2026-06-16T07:00:00Z,2026-09-04T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Coffee Beans,B-ROOFTOP_BAR-018-2,59.12,38.51,29400.00,2026-05-15T08:00:00Z,2026-06-29T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Tea Leaves,B-ROOFTOP_BAR-019-1,102.31,37.10,18900.00,2026-05-27T11:00:00Z,2026-07-20T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Tea Leaves,B-ROOFTOP_BAR-019-2,82.94,34.79,18900.00,2026-05-31T13:00:00Z,2026-08-20T13:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Mango Pulp,B-ROOFTOP_BAR-020-1,94.12,55.93,8925.00,2026-05-20T06:00:00Z,2026-09-17T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Mango Pulp,B-ROOFTOP_BAR-020-2,26.11,14.58,8925.00,2026-04-18T11:00:00Z,2026-08-04T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Passion Fruit Pulp,B-ROOFTOP_BAR-021-1,111.43,41.39,9660.00,2026-06-13T12:00:00Z,2026-08-04T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Passion Fruit Pulp,B-ROOFTOP_BAR-021-2,56.19,34.28,9660.00,2026-05-24T06:00:00Z,2026-06-19T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Lime Juice,B-ROOFTOP_BAR-022-1,56.06,38.66,7350.00,2026-04-04T12:00:00Z,2026-07-15T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Lime Juice,B-ROOFTOP_BAR-022-2,96.66,50.37,7350.00,2026-06-03T07:00:00Z,2026-09-08T07:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Ginger Syrup,B-ROOFTOP_BAR-023-1,24.15,18.34,10500.00,2026-05-01T09:00:00Z,2026-08-01T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Ginger Syrup,B-ROOFTOP_BAR-023-2,98.72,81.60,10500.00,2026-04-21T12:00:00Z,2026-05-31T12:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Hibiscus Syrup,B-ROOFTOP_BAR-024-1,52.43,24.05,11550.00,2026-04-02T10:00:00Z,2026-05-23T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Hibiscus Syrup,B-ROOFTOP_BAR-024-2,102.98,92.31,11550.00,2026-06-18T11:00:00Z,2026-08-21T11:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Sparkling Water,B-ROOFTOP_BAR-025-1,116.57,95.15,3675.00,2026-06-20T08:00:00Z,2026-10-09T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Sparkling Water,B-ROOFTOP_BAR-025-2,117.66,83.24,3675.00,2026-05-02T06:00:00Z,2026-08-18T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Chocolate,B-ROOFTOP_BAR-026-1,79.35,61.10,16800.00,2026-05-06T06:00:00Z,2026-07-17T06:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Dates,B-ROOFTOP_BAR-027-1,101.36,78.35,14700.00,2026-05-13T10:00:00Z,2026-07-24T10:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Sugar,B-ROOFTOP_BAR-028-1,53.44,42.25,4725.00,2026-05-09T08:00:00Z,2026-06-08T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Flour,B-ROOFTOP_BAR-029-1,39.15,13.75,5040.00,2026-04-02T08:00:00Z,2026-07-18T08:00:00Z,OPENING_BALANCE,DEMO_IMPORT
nimbus,ROOFTOP_BAR,Cooking Oil,B-ROOFTOP_BAR-030-1,96.26,71.79,9450.00,2026-06-09T09:00:00Z,2026-08-23T09:00:00Z,OPENING_BALANCE,DEMO_IMPORT
