organizationSlug,branchCode,name,unit,category,theoreticalUnitCost,reorderLevel,reorderQty,isActive,sku,preferredSupplierKey,metadata
nimbus,ROOFTOP_BAR,Passion Fruit Pulp,ltr,Beverage,9660.00,10.00,50.00,true,RO-INV-021,Fresh Fields Produce,"{""demoCategory"": ""Beverage""}"
nimbus,ROOFTOP_BAR,Lime Juice,ltr,Beverage,7350.00,15.00,20.00,true,RO-INV-022,Lake Harvest Foods,"{""demoCategory"": ""Beverage""}"
nimbus,ROOFTOP_BAR,Ginger Syrup,ltr,Beverage,10500.00,20.00,25.00,true,RO-INV-023,Prime Poultry Demo,"{""demoCategory"": ""Beverage""}"
nimbus,ROOFTOP_BAR,Hibiscus Syrup,ltr,Beverage,11550.00,25.00,30.00,true,RO-INV-024,Kampala Dry Goods,"{""demoCategory"": ""Beverage""}"
nimbus,ROOFTOP_BAR,Sparkling Water,ltr,Beverage,3675.00,30.00,35.00,true,RO-INV-025,Cafe Bean Collective,"{""demoCategory"": ""Beverage""}"
nimbus,ROOFTOP_BAR,Chocolate,kg,Dry Goods,16800.00,10.00,40.00,true,RO-INV-026,Skyline Beverage Supply,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Dates,kg,Dry Goods,14700.00,15.00,45.00,true,RO-INV-027,CleanOps Services,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Sugar,kg,Dry Goods,4725.00,20.00,50.00,true,RO-INV-028,Kampala Utilities Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Flour,kg,Dry Goods,5040.00,25.00,20.00,true,RO-INV-029,Event Rentals Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Cooking Oil,ltr,Dry Goods,9450.00,30.00,25.00,true,RO-INV-030,Cloud Apps Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Salt,kg,Dry Goods,1890.00,10.00,30.00,true,RO-INV-031,Fresh Fields Produce,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Black Pepper,kg,Dry Goods,22050.00,15.00,35.00,true,RO-INV-032,Lake Harvest Foods,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Garlic,kg,Produce,7875.00,20.00,40.00,true,RO-INV-033,Prime Poultry Demo,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Onion,kg,Produce,4200.00,25.00,45.00,true,RO-INV-034,Kampala Dry Goods,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Cucumber,kg,Produce,5250.00,30.00,50.00,true,RO-INV-035,Cafe Bean Collective,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Basil,kg,Produce,15225.00,10.00,20.00,true,RO-INV-036,Skyline Beverage Supply,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Cranberry Juice,ltr,Beverage,8610.00,15.00,25.00,true,RO-INV-037,CleanOps Services,"{""demoCategory"": ""Beverage""}"
nimbus,ROOFTOP_BAR,Vanilla Syrup,ltr,Cafe,13650.00,20.00,30.00,true,RO-INV-038,Kampala Utilities Demo,"{""demoCategory"": ""Cafe""}"
nimbus,ROOFTOP_BAR,Oats,kg,Dry Goods,7980.00,25.00,35.00,true,RO-INV-039,Event Rentals Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,ROOFTOP_BAR,Bananas,kg,Produce,4410.00,30.00,40.00,true,RO-INV-040,Cloud Apps Demo,"{""demoCategory"": ""Produce""}"
nimbus,ROOFTOP_BAR,Mini Dessert Base,unit,Bakery,1260.00,10.00,45.00,true,RO-INV-041,Fresh Fields Produce,"{""demoCategory"": ""Bakery""}"
nimbus,ROOFTOP_BAR,Packaging Box,unit,Packaging,945.00,15.00,50.00,true,RO-INV-042,Lake Harvest Foods,"{""demoCategory"": ""Packaging""}"
nimbus,ROOFTOP_BAR,Napkins,unit,Packaging,84.00,20.00,20.00,true,RO-INV-043,Prime Poultry Demo,"{""demoCategory"": ""Packaging""}"
nimbus,ROOFTOP_BAR,Cleaning Solution,ltr,Cleaning,6300.00,25.00,25.00,true,RO-INV-044,Kampala Dry Goods,"{""demoCategory"": ""Cleaning""}"
nimbus,ROOFTOP_BAR,Receipt Paper Roll,unit,Packaging,2625.00,30.00,30.00,true,RO-INV-045,Cafe Bean Collective,"{""demoCategory"": ""Packaging""}"
nimbus,GARDEN_CAFE,Chicken Breast,kg,Proteins,17280.00,10.00,20.00,true,GA-INV-001,Fresh Fields Produce,"{""demoCategory"": ""Proteins""}"
nimbus,GARDEN_CAFE,Beef Fillet,kg,Proteins,30720.00,15.00,25.00,true,GA-INV-002,Lake Harvest Foods,"{""demoCategory"": ""Proteins""}"
nimbus,GARDEN_CAFE,Tilapia Fillet,kg,Proteins,24960.00,20.00,30.00,true,GA-INV-003,Prime Poultry Demo,"{""demoCategory"": ""Proteins""}"
nimbus,GARDEN_CAFE,Mushrooms,kg,Produce,8640.00,25.00,35.00,true,GA-INV-004,Kampala Dry Goods,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Eggplant,kg,Produce,5760.00,30.00,40.00,true,GA-INV-005,Cafe Bean Collective,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Tomatoes,kg,Produce,4320.00,10.00,45.00,true,GA-INV-006,Skyline Beverage Supply,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Avocado,kg,Produce,6720.00,15.00,50.00,true,GA-INV-007,CleanOps Services,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Plantain,kg,Produce,4800.00,20.00,20.00,true,GA-INV-008,Kampala Utilities Demo,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Lettuce,kg,Produce,5280.00,25.00,25.00,true,GA-INV-009,Event Rentals Demo,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Herbs Mix,kg,Produce,11520.00,30.00,30.00,true,GA-INV-010,Cloud Apps Demo,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Potatoes,kg,Produce,3648.00,10.00,35.00,true,GA-INV-011,Fresh Fields Produce,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Flatbread Dough,kg,Bakery,6240.00,15.00,40.00,true,GA-INV-012,Lake Harvest Foods,"{""demoCategory"": ""Bakery""}"
nimbus,GARDEN_CAFE,Pasta,kg,Dry Goods,6720.00,20.00,45.00,true,GA-INV-013,Prime Poultry Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Rice,kg,Dry Goods,4992.00,25.00,50.00,true,GA-INV-014,Kampala Dry Goods,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Cheese,kg,Dairy,23040.00,30.00,20.00,true,GA-INV-015,Cafe Bean Collective,"{""demoCategory"": ""Dairy""}"
nimbus,GARDEN_CAFE,Yoghurt,ltr,Dairy,7200.00,10.00,25.00,true,GA-INV-016,Skyline Beverage Supply,"{""demoCategory"": ""Dairy""}"
nimbus,GARDEN_CAFE,Cream,ltr,Dairy,8640.00,15.00,30.00,true,GA-INV-017,CleanOps Services,"{""demoCategory"": ""Dairy""}"
nimbus,GARDEN_CAFE,Coffee Beans,kg,Cafe,26880.00,20.00,35.00,true,GA-INV-018,Kampala Utilities Demo,"{""demoCategory"": ""Cafe""}"
nimbus,GARDEN_CAFE,Tea Leaves,kg,Cafe,17280.00,25.00,40.00,true,GA-INV-019,Event Rentals Demo,"{""demoCategory"": ""Cafe""}"
nimbus,GARDEN_CAFE,Mango Pulp,ltr,Beverage,8160.00,30.00,45.00,true,GA-INV-020,Cloud Apps Demo,"{""demoCategory"": ""Beverage""}"
nimbus,GARDEN_CAFE,Passion Fruit Pulp,ltr,Beverage,8832.00,10.00,50.00,true,GA-INV-021,Fresh Fields Produce,"{""demoCategory"": ""Beverage""}"
nimbus,GARDEN_CAFE,Lime Juice,ltr,Beverage,6720.00,15.00,20.00,true,GA-INV-022,Lake Harvest Foods,"{""demoCategory"": ""Beverage""}"
nimbus,GARDEN_CAFE,Ginger Syrup,ltr,Beverage,9600.00,20.00,25.00,true,GA-INV-023,Prime Poultry Demo,"{""demoCategory"": ""Beverage""}"
nimbus,GARDEN_CAFE,Hibiscus Syrup,ltr,Beverage,10560.00,25.00,30.00,true,GA-INV-024,Kampala Dry Goods,"{""demoCategory"": ""Beverage""}"
nimbus,GARDEN_CAFE,Sparkling Water,ltr,Beverage,3360.00,30.00,35.00,true,GA-INV-025,Cafe Bean Collective,"{""demoCategory"": ""Beverage""}"
nimbus,GARDEN_CAFE,Chocolate,kg,Dry Goods,15360.00,10.00,40.00,true,GA-INV-026,Skyline Beverage Supply,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Dates,kg,Dry Goods,13440.00,15.00,45.00,true,GA-INV-027,CleanOps Services,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Sugar,kg,Dry Goods,4320.00,20.00,50.00,true,GA-INV-028,Kampala Utilities Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Flour,kg,Dry Goods,4608.00,25.00,20.00,true,GA-INV-029,Event Rentals Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Cooking Oil,ltr,Dry Goods,8640.00,30.00,25.00,true,GA-INV-030,Cloud Apps Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Salt,kg,Dry Goods,1728.00,10.00,30.00,true,GA-INV-031,Fresh Fields Produce,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Black Pepper,kg,Dry Goods,20160.00,15.00,35.00,true,GA-INV-032,Lake Harvest Foods,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Garlic,kg,Produce,7200.00,20.00,40.00,true,GA-INV-033,Prime Poultry Demo,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Onion,kg,Produce,3840.00,25.00,45.00,true,GA-INV-034,Kampala Dry Goods,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Cucumber,kg,Produce,4800.00,30.00,50.00,true,GA-INV-035,Cafe Bean Collective,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Basil,kg,Produce,13920.00,10.00,20.00,true,GA-INV-036,Skyline Beverage Supply,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Cranberry Juice,ltr,Beverage,7872.00,15.00,25.00,true,GA-INV-037,CleanOps Services,"{""demoCategory"": ""Beverage""}"
nimbus,GARDEN_CAFE,Vanilla Syrup,ltr,Cafe,12480.00,20.00,30.00,true,GA-INV-038,Kampala Utilities Demo,"{""demoCategory"": ""Cafe""}"
nimbus,GARDEN_CAFE,Oats,kg,Dry Goods,7296.00,25.00,35.00,true,GA-INV-039,Event Rentals Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,GARDEN_CAFE,Bananas,kg,Produce,4032.00,30.00,40.00,true,GA-INV-040,Cloud Apps Demo,"{""demoCategory"": ""Produce""}"
nimbus,GARDEN_CAFE,Mini Dessert Base,unit,Bakery,1152.00,10.00,45.00,true,GA-INV-041,Fresh Fields Produce,"{""demoCategory"": ""Bakery""}"
nimbus,GARDEN_CAFE,Packaging Box,unit,Packaging,864.00,15.00,50.00,true,GA-INV-042,Lake Harvest Foods,"{""demoCategory"": ""Packaging""}"
nimbus,GARDEN_CAFE,Napkins,unit,Packaging,76.80,20.00,20.00,true,GA-INV-043,Prime Poultry Demo,"{""demoCategory"": ""Packaging""}"
nimbus,GARDEN_CAFE,Cleaning Solution,ltr,Cleaning,5760.00,25.00,25.00,true,GA-INV-044,Kampala Dry Goods,"{""demoCategory"": ""Cleaning""}"
nimbus,GARDEN_CAFE,Receipt Paper Roll,unit,Packaging,2400.00,30.00,30.00,true,GA-INV-045,Cafe Bean Collective,"{""demoCategory"": ""Packaging""}"
nimbus,EVENTS_KITCHEN,Chicken Breast,kg,Proteins,19440.00,10.00,20.00,true,EV-INV-001,Fresh Fields Produce,"{""demoCategory"": ""Proteins""}"
nimbus,EVENTS_KITCHEN,Beef Fillet,kg,Proteins,34560.00,15.00,25.00,true,EV-INV-002,Lake Harvest Foods,"{""demoCategory"": ""Proteins""}"
nimbus,EVENTS_KITCHEN,Tilapia Fillet,kg,Proteins,28080.00,20.00,30.00,true,EV-INV-003,Prime Poultry Demo,"{""demoCategory"": ""Proteins""}"
nimbus,EVENTS_KITCHEN,Mushrooms,kg,Produce,9720.00,25.00,35.00,true,EV-INV-004,Kampala Dry Goods,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Eggplant,kg,Produce,6480.00,30.00,40.00,true,EV-INV-005,Cafe Bean Collective,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Tomatoes,kg,Produce,4860.00,10.00,45.00,true,EV-INV-006,Skyline Beverage Supply,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Avocado,kg,Produce,7560.00,15.00,50.00,true,EV-INV-007,CleanOps Services,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Plantain,kg,Produce,5400.00,20.00,20.00,true,EV-INV-008,Kampala Utilities Demo,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Lettuce,kg,Produce,5940.00,25.00,25.00,true,EV-INV-009,Event Rentals Demo,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Herbs Mix,kg,Produce,12960.00,30.00,30.00,true,EV-INV-010,Cloud Apps Demo,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Potatoes,kg,Produce,4104.00,10.00,35.00,true,EV-INV-011,Fresh Fields Produce,"{""demoCategory"": ""Produce""}"
nimbus,EVENTS_KITCHEN,Flatbread Dough,kg,Bakery,7020.00,15.00,40.00,true,EV-INV-012,Lake Harvest Foods,"{""demoCategory"": ""Bakery""}"
nimbus,EVENTS_KITCHEN,Pasta,kg,Dry Goods,7560.00,20.00,45.00,true,EV-INV-013,Prime Poultry Demo,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Rice,kg,Dry Goods,5616.00,25.00,50.00,true,EV-INV-014,Kampala Dry Goods,"{""demoCategory"": ""Dry Goods""}"
nimbus,EVENTS_KITCHEN,Cheese,kg,Dairy,25920.00,30.00,20.00,true,EV-INV-015,Cafe Bean Collective,"{""demoCategory"": ""Dairy""}"
nimbus,EVENTS_KITCHEN,Yoghurt,ltr,Dairy,8100.00,10.00,25.00,true,EV-INV-016,Skyline Beverage Supply,"{""demoCategory"": ""Dairy""}"
nimbus,EVENTS_KITCHEN,Cream,ltr,Dairy,9720.00,15.00,30.00,true,EV-INV-017,CleanOps Services,"{""demoCategory"": ""Dairy""}"
nimbus,EVENTS_KITCHEN,Coffee Beans,kg,Cafe,30240.00,20.00,35.00,true,EV-INV-018,Kampala Utilities Demo,"{""demoCategory"": ""Cafe""}"
nimbus,EVENTS_KITCHEN,Tea Leaves,kg,Cafe,19440.00,25.00,40.00,true,EV-INV-019,Event Rentals Demo,"{""demoCategory"": ""Cafe""}"
nimbus,EVENTS_KITCHEN,Mango Pulp,ltr,Beverage,9180.00,30.00,45.00,true,EV-INV-020,Cloud Apps Demo,"{""demoCategory"": ""Beverage""}"
nimbus,EVENTS_KITCHEN,Passion Fruit Pulp,ltr,Beverage,9936.00,10.00,50.00,true,EV-INV-021,Fresh Fields Produce,"{""demoCategory"": ""Beverage""}"
nimbus,EVENTS_KITCHEN,Lime Juice,ltr,Beverage,7560.00,15.00,20.00,true,EV-INV-022,Lake Harvest Foods,"{""demoCategory"": ""Beverage""}"
nimbus,EVENTS_KITCHEN,Ginger Syrup,ltr,Beverage,10800.00,20.00,25.00,true,EV-INV-023,Prime Poultry Demo,"{""demoCategory"": ""Beverage""}"
nimbus,EVENTS_KITCHEN,Hibiscus Syrup,ltr,Beverage,11880.00,25.00,30.00,true,EV-INV-024,Kampala Dry Goods,"{""demoCategory"": ""Beverage""}"
