branchCode,bookingNumber,ticketNumber,holderName,status,qrToken,checkedInAt
EVENTS_KITCHEN,BKG-05-001,TKT-05-001-01,Demo Ticket Holder 4-0-0,ISSUED,demo-qr-4-0-0-not-secret,
EVENTS_KITCHEN,BKG-05-001,TKT-05-001-02,Demo Ticket Holder 4-0-1,ISSUED,demo-qr-4-0-1-not-secret,
EVENTS_KITCHEN,BKG-05-001,TKT-05-001-03,Demo Ticket Holder 4-0-2,ISSUED,demo-qr-4-0-2-not-secret,
EVENTS_KITCHEN,BKG-05-002,TKT-05-002-01,Demo Ticket Holder 4-1-0,ISSUED,demo-qr-4-1-0-not-secret,
EVENTS_KITCHEN,BKG-05-002,TKT-05-002-02,Demo Ticket Holder 4-1-1,ISSUED,demo-qr-4-1-1-not-secret,
EVENTS_KITCHEN,BKG-05-002,TKT-05-002-03,Demo Ticket Holder 4-1-2,ISSUED,demo-qr-4-1-2-not-secret,
EVENTS_KITCHEN,BKG-05-003,TKT-05-003-01,Demo Ticket Holder 4-2-0,ISSUED,demo-qr-4-2-0-not-secret,
EVENTS_KITCHEN,BKG-05-003,TKT-05-003-02,Demo Ticket Holder 4-2-1,ISSUED,demo-qr-4-2-1-not-secret,
EVENTS_KITCHEN,BKG-05-003,TKT-05-003-03,Demo Ticket Holder 4-2-2,ISSUED,demo-qr-4-2-2-not-secret,
EVENTS_KITCHEN,BKG-05-004,TKT-05-004-01,Demo Ticket Holder 4-3-0,ISSUED,demo-qr-4-3-0-not-secret,
EVENTS_KITCHEN,BKG-05-005,TKT-05-005-01,Demo Ticket Holder 4-4-0,ISSUED,demo-qr-4-4-0-not-secret,
EVENTS_KITCHEN,BKG-05-005,TKT-05-005-02,Demo Ticket Holder 4-4-1,ISSUED,demo-qr-4-4-1-not-secret,
EVENTS_KITCHEN,BKG-05-005,TKT-05-005-03,Demo Ticket Holder 4-4-2,ISSUED,demo-qr-4-4-2-not-secret,
ROOFTOP_BAR,BKG-06-001,TKT-06-001-01,Demo Ticket Holder 5-0-0,ISSUED,demo-qr-5-0-0-not-secret,
ROOFTOP_BAR,BKG-06-001,TKT-06-001-02,Demo Ticket Holder 5-0-1,ISSUED,demo-qr-5-0-1-not-secret,
ROOFTOP_BAR,BKG-06-001,TKT-06-001-03,Demo Ticket Holder 5-0-2,ISSUED,demo-qr-5-0-2-not-secret,
ROOFTOP_BAR,BKG-06-001,TKT-06-001-04,Demo Ticket Holder 5-0-3,ISSUED,demo-qr-5-0-3-not-secret,
ROOFTOP_BAR,BKG-06-002,TKT-06-002-01,Demo Ticket Holder 5-1-0,ISSUED,demo-qr-5-1-0-not-secret,
ROOFTOP_BAR,BKG-06-002,TKT-06-002-02,Demo Ticket Holder 5-1-1,ISSUED,demo-qr-5-1-1-not-secret,
ROOFTOP_BAR,BKG-06-002,TKT-06-002-03,Demo Ticket Holder 5-1-2,ISSUED,demo-qr-5-1-2-not-secret,
ROOFTOP_BAR,BKG-06-002,TKT-06-002-04,Demo Ticket Holder 5-1-3,ISSUED,demo-qr-5-1-3-not-secret,
EVENTS_KITCHEN,BKG-07-001,TKT-07-001-01,Demo Ticket Holder 6-0-0,ISSUED,demo-qr-6-0-0-not-secret,
EVENTS_KITCHEN,BKG-07-002,TKT-07-002-01,Demo Ticket Holder 6-1-0,ISSUED,demo-qr-6-1-0-not-secret,
EVENTS_KITCHEN,BKG-07-002,TKT-07-002-02,Demo Ticket Holder 6-1-1,ISSUED,demo-qr-6-1-1-not-secret,
EVENTS_KITCHEN,BKG-07-003,TKT-07-003-01,Demo Ticket Holder 6-2-0,ISSUED,demo-qr-6-2-0-not-secret,
EVENTS_KITCHEN,BKG-07-003,TKT-07-003-02,Demo Ticket Holder 6-2-1,ISSUED,demo-qr-6-2-1-not-secret,
EVENTS_KITCHEN,BKG-07-004,TKT-07-004-01,Demo Ticket Holder 6-3-0,ISSUED,demo-qr-6-3-0-not-secret,
EVENTS_KITCHEN,BKG-07-004,TKT-07-004-02,Demo Ticket Holder 6-3-1,ISSUED,demo-qr-6-3-1-not-secret,
EVENTS_KITCHEN,BKG-07-005,TKT-07-005-01,Demo Ticket Holder 6-4-0,ISSUED,demo-qr-6-4-0-not-secret,
EVENTS_KITCHEN,BKG-07-005,TKT-07-005-02,Demo Ticket Holder 6-4-1,ISSUED,demo-qr-6-4-1-not-secret,
EVENTS_KITCHEN,BKG-07-005,TKT-07-005-03,Demo Ticket Holder 6-4-2,ISSUED,demo-qr-6-4-2-not-secret,
EVENTS_KITCHEN,BKG-07-005,TKT-07-005-04,Demo Ticket Holder 6-4-3,ISSUED,demo-qr-6-4-3-not-secret,
GARDEN_CAFE,BKG-08-001,TKT-08-001-01,Demo Ticket Holder 7-0-0,ISSUED,demo-qr-7-0-0-not-secret,
GARDEN_CAFE,BKG-08-002,TKT-08-002-01,Demo Ticket Holder 7-1-0,ISSUED,demo-qr-7-1-0-not-secret,
GARDEN_CAFE,BKG-08-002,TKT-08-002-02,Demo Ticket Holder 7-1-1,ISSUED,demo-qr-7-1-1-not-secret,
GARDEN_CAFE,BKG-08-002,TKT-08-002-03,Demo Ticket Holder 7-1-2,ISSUED,demo-qr-7-1-2-not-secret,
GARDEN_CAFE,BKG-08-003,TKT-08-003-01,Demo Ticket Holder 7-2-0,ISSUED,demo-qr-7-2-0-not-secret,
GARDEN_CAFE,BKG-08-003,TKT-08-003-02,Demo Ticket Holder 7-2-1,ISSUED,demo-qr-7-2-1-not-secret,
