organizationSlug,branchCode,shiftNumber,openedByEmail,status,openedAt,closedAt,closedByEmail,notes
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-016,cashier@nimbus.demo,CLOSED,2026-06-25T06:00:00Z,2026-06-25T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-017,cashier@nimbus.demo,CLOSED,2026-06-26T06:00:00Z,2026-06-26T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-018,cashier@nimbus.demo,CLOSED,2026-06-27T06:00:00Z,2026-06-27T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-019,cashier@nimbus.demo,CLOSED,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,TAPAS_DOWNTOWN,SH-TAPAS_DOWNTOWN-020,manager@nimbus.demo,OPEN,2026-06-29T06:00:00Z,,,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-001,cashier@nimbus.demo,CLOSED,2026-06-10T12:00:00Z,2026-06-10T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-002,supervisor@nimbus.demo,CLOSED,2026-06-11T12:00:00Z,2026-06-11T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-003,cashier@nimbus.demo,CLOSED,2026-06-12T12:00:00Z,2026-06-12T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-004,supervisor@nimbus.demo,CLOSED,2026-06-13T12:00:00Z,2026-06-13T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-005,supervisor@nimbus.demo,CLOSED,2026-06-14T12:00:00Z,2026-06-14T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-006,manager@nimbus.demo,CLOSED,2026-06-15T12:00:00Z,2026-06-15T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-007,supervisor@nimbus.demo,CLOSED,2026-06-16T12:00:00Z,2026-06-16T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-008,cashier@nimbus.demo,CLOSED,2026-06-17T12:00:00Z,2026-06-17T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-009,cashier@nimbus.demo,CLOSED,2026-06-18T12:00:00Z,2026-06-18T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-010,manager@nimbus.demo,CLOSED,2026-06-19T12:00:00Z,2026-06-19T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-011,supervisor@nimbus.demo,CLOSED,2026-06-20T12:00:00Z,2026-06-20T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-012,manager@nimbus.demo,CLOSED,2026-06-21T12:00:00Z,2026-06-21T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-013,manager@nimbus.demo,CLOSED,2026-06-22T12:00:00Z,2026-06-22T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-014,supervisor@nimbus.demo,CLOSED,2026-06-23T12:00:00Z,2026-06-23T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-015,supervisor@nimbus.demo,CLOSED,2026-06-24T12:00:00Z,2026-06-24T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-016,supervisor@nimbus.demo,CLOSED,2026-06-25T12:00:00Z,2026-06-25T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-017,cashier@nimbus.demo,CLOSED,2026-06-26T12:00:00Z,2026-06-26T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-018,supervisor@nimbus.demo,CLOSED,2026-06-27T12:00:00Z,2026-06-27T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-019,supervisor@nimbus.demo,CLOSED,2026-06-28T12:00:00Z,2026-06-28T21:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-020,manager@nimbus.demo,OPEN,2026-06-29T12:00:00Z,,,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-001,manager@nimbus.demo,CLOSED,2026-06-10T06:00:00Z,2026-06-10T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-002,cashier@nimbus.demo,CLOSED,2026-06-11T06:00:00Z,2026-06-11T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-003,cashier@nimbus.demo,CLOSED,2026-06-12T06:00:00Z,2026-06-12T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-004,cashier@nimbus.demo,CLOSED,2026-06-13T06:00:00Z,2026-06-13T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-005,cashier@nimbus.demo,CLOSED,2026-06-14T06:00:00Z,2026-06-14T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-006,manager@nimbus.demo,CLOSED,2026-06-15T06:00:00Z,2026-06-15T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-007,cashier@nimbus.demo,CLOSED,2026-06-16T06:00:00Z,2026-06-16T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-008,supervisor@nimbus.demo,CLOSED,2026-06-17T06:00:00Z,2026-06-17T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-009,manager@nimbus.demo,CLOSED,2026-06-18T06:00:00Z,2026-06-18T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-010,supervisor@nimbus.demo,CLOSED,2026-06-19T06:00:00Z,2026-06-19T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-011,cashier@nimbus.demo,CLOSED,2026-06-20T06:00:00Z,2026-06-20T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-012,cashier@nimbus.demo,CLOSED,2026-06-21T06:00:00Z,2026-06-21T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-013,manager@nimbus.demo,CLOSED,2026-06-22T06:00:00Z,2026-06-22T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-014,supervisor@nimbus.demo,CLOSED,2026-06-23T06:00:00Z,2026-06-23T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-015,cashier@nimbus.demo,CLOSED,2026-06-24T06:00:00Z,2026-06-24T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-016,manager@nimbus.demo,CLOSED,2026-06-25T06:00:00Z,2026-06-25T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-017,cashier@nimbus.demo,CLOSED,2026-06-26T06:00:00Z,2026-06-26T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-018,manager@nimbus.demo,CLOSED,2026-06-27T06:00:00Z,2026-06-27T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-019,supervisor@nimbus.demo,CLOSED,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-020,manager@nimbus.demo,OPEN,2026-06-29T06:00:00Z,,,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-001,supervisor@nimbus.demo,CLOSED,2026-06-10T06:00:00Z,2026-06-10T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-002,cashier@nimbus.demo,CLOSED,2026-06-11T06:00:00Z,2026-06-11T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-003,cashier@nimbus.demo,CLOSED,2026-06-12T06:00:00Z,2026-06-12T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-004,manager@nimbus.demo,CLOSED,2026-06-13T06:00:00Z,2026-06-13T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-005,manager@nimbus.demo,CLOSED,2026-06-14T06:00:00Z,2026-06-14T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-006,supervisor@nimbus.demo,CLOSED,2026-06-15T06:00:00Z,2026-06-15T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-007,supervisor@nimbus.demo,CLOSED,2026-06-16T06:00:00Z,2026-06-16T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-008,manager@nimbus.demo,CLOSED,2026-06-17T06:00:00Z,2026-06-17T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-009,manager@nimbus.demo,CLOSED,2026-06-18T06:00:00Z,2026-06-18T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-010,cashier@nimbus.demo,CLOSED,2026-06-19T06:00:00Z,2026-06-19T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-011,cashier@nimbus.demo,CLOSED,2026-06-20T06:00:00Z,2026-06-20T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-012,supervisor@nimbus.demo,CLOSED,2026-06-21T06:00:00Z,2026-06-21T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-013,cashier@nimbus.demo,CLOSED,2026-06-22T06:00:00Z,2026-06-22T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-014,supervisor@nimbus.demo,CLOSED,2026-06-23T06:00:00Z,2026-06-23T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-015,manager@nimbus.demo,CLOSED,2026-06-24T06:00:00Z,2026-06-24T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-016,manager@nimbus.demo,CLOSED,2026-06-25T06:00:00Z,2026-06-25T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-017,manager@nimbus.demo,CLOSED,2026-06-26T06:00:00Z,2026-06-26T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-018,supervisor@nimbus.demo,CLOSED,2026-06-27T06:00:00Z,2026-06-27T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-019,cashier@nimbus.demo,CLOSED,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,manager@nimbus.demo,Premium demo shift
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-020,cashier@nimbus.demo,OPEN,2026-06-29T06:00:00Z,,,Premium demo shift
