organizationSlug,branchCode,orderNumber,amount,method,status,enteredByEmail,provider,transactionId,providerRef,captureMode,verificationStatus,metadata
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00025,49600.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00025,PAY-ORD-TAPAS_DOWNTOWN-00025,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00027,18900.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00027,PAY-ORD-TAPAS_DOWNTOWN-00027,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00028,37800.00,BANK_TRANSFER,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00028,PAY-ORD-TAPAS_DOWNTOWN-00028,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00031,31400.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-ROOFTOP_BAR-00031,PAY-ORD-ROOFTOP_BAR-00031,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00032,47400.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00032,PAY-ORD-ROOFTOP_BAR-00032,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00035,84500.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00035,PAY-ORD-GARDEN_CAFE-00035,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00037,235300.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-EVENTS_KITCHEN-00037,PAY-ORD-EVENTS_KITCHEN-00037,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00038,494200.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-EVENTS_KITCHEN-00038,PAY-ORD-EVENTS_KITCHEN-00038,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00039,187400.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-EVENTS_KITCHEN-00039,PAY-ORD-EVENTS_KITCHEN-00039,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00041,113300.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00041,PAY-ORD-TAPAS_DOWNTOWN-00041,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00042,429500.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00042,PAY-ORD-TAPAS_DOWNTOWN-00042,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00045,37800.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00045,PAY-ORD-TAPAS_DOWNTOWN-00045,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00046,358100.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00046,PAY-ORD-ROOFTOP_BAR-00046,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00047,276200.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00047,PAY-ORD-ROOFTOP_BAR-00047,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00048,252800.00,BANK_TRANSFER,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-ROOFTOP_BAR-00048,PAY-ORD-ROOFTOP_BAR-00048,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00049,37100.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-ROOFTOP_BAR-00049,PAY-ORD-ROOFTOP_BAR-00049,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00051,255900.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00051,PAY-ORD-GARDEN_CAFE-00051,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00053,84600.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00053,PAY-ORD-GARDEN_CAFE-00053,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00054,273600.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-GARDEN_CAFE-00054,PAY-ORD-GARDEN_CAFE-00054,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00057,56600.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-EVENTS_KITCHEN-00057,PAY-ORD-EVENTS_KITCHEN-00057,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00058,341300.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-EVENTS_KITCHEN-00058,PAY-ORD-EVENTS_KITCHEN-00058,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00059,111600.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-EVENTS_KITCHEN-00059,PAY-ORD-EVENTS_KITCHEN-00059,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00063,67000.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-GARDEN_CAFE-00063,PAY-ORD-GARDEN_CAFE-00063,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00065,328000.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00065,PAY-ORD-TAPAS_DOWNTOWN-00065,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00066,67300.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00066,PAY-ORD-TAPAS_DOWNTOWN-00066,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00068,22700.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00068,PAY-ORD-ROOFTOP_BAR-00068,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00069,234800.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00069,PAY-ORD-GARDEN_CAFE-00069,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00070,23800.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-GARDEN_CAFE-00070,PAY-ORD-GARDEN_CAFE-00070,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00071,201800.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-EVENTS_KITCHEN-00071,PAY-ORD-EVENTS_KITCHEN-00071,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00072,33400.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-EVENTS_KITCHEN-00072,PAY-ORD-EVENTS_KITCHEN-00072,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00073,166400.00,BANK_TRANSFER,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00073,PAY-ORD-TAPAS_DOWNTOWN-00073,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00074,100900.00,BANK_TRANSFER,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00074,PAY-ORD-TAPAS_DOWNTOWN-00074,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00076,63400.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-ROOFTOP_BAR-00076,PAY-ORD-ROOFTOP_BAR-00076,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00079,273400.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-GARDEN_CAFE-00079,PAY-ORD-GARDEN_CAFE-00079,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00080,247200.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00080,PAY-ORD-GARDEN_CAFE-00080,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00081,70800.00,BANK_TRANSFER,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00081,PAY-ORD-GARDEN_CAFE-00081,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00082,197900.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-EVENTS_KITCHEN-00082,PAY-ORD-EVENTS_KITCHEN-00082,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00083,141600.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-EVENTS_KITCHEN-00083,PAY-ORD-EVENTS_KITCHEN-00083,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00085,106200.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00085,PAY-ORD-TAPAS_DOWNTOWN-00085,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00087,125100.00,BANK_TRANSFER,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00087,PAY-ORD-TAPAS_DOWNTOWN-00087,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00088,37800.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00088,PAY-ORD-TAPAS_DOWNTOWN-00088,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00089,56600.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00089,PAY-ORD-ROOFTOP_BAR-00089,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00090,70800.00,BANK_TRANSFER,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-ROOFTOP_BAR-00090,PAY-ORD-ROOFTOP_BAR-00090,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00091,52600.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-ROOFTOP_BAR-00091,PAY-ORD-ROOFTOP_BAR-00091,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00093,206300.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00093,PAY-ORD-GARDEN_CAFE-00093,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00094,261700.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00094,PAY-ORD-GARDEN_CAFE-00094,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00096,75500.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-GARDEN_CAFE-00096,PAY-ORD-GARDEN_CAFE-00096,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00097,361400.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-EVENTS_KITCHEN-00097,PAY-ORD-EVENTS_KITCHEN-00097,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00098,330500.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-EVENTS_KITCHEN-00098,PAY-ORD-EVENTS_KITCHEN-00098,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00100,66800.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-EVENTS_KITCHEN-00100,PAY-ORD-EVENTS_KITCHEN-00100,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00101,74300.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00101,PAY-ORD-TAPAS_DOWNTOWN-00101,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00104,144700.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00104,PAY-ORD-TAPAS_DOWNTOWN-00104,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00105,110900.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00105,PAY-ORD-TAPAS_DOWNTOWN-00105,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00106,106000.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00106,PAY-ORD-ROOFTOP_BAR-00106,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00108,63100.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00108,PAY-ORD-ROOFTOP_BAR-00108,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00109,114900.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00109,PAY-ORD-ROOFTOP_BAR-00109,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00110,60200.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00110,PAY-ORD-ROOFTOP_BAR-00110,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00112,17500.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00112,PAY-ORD-GARDEN_CAFE-00112,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00113,39100.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-GARDEN_CAFE-00113,PAY-ORD-GARDEN_CAFE-00113,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00114,75000.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00114,PAY-ORD-GARDEN_CAFE-00114,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00115,163000.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00115,PAY-ORD-GARDEN_CAFE-00115,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00116,206400.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-EVENTS_KITCHEN-00116,PAY-ORD-EVENTS_KITCHEN-00116,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00117,308800.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-EVENTS_KITCHEN-00117,PAY-ORD-EVENTS_KITCHEN-00117,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00118,161800.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-EVENTS_KITCHEN-00118,PAY-ORD-EVENTS_KITCHEN-00118,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00121,60200.00,BANK_TRANSFER,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00121,PAY-ORD-TAPAS_DOWNTOWN-00121,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00122,11900.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-ROOFTOP_BAR-00122,PAY-ORD-ROOFTOP_BAR-00122,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00125,267900.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00125,PAY-ORD-TAPAS_DOWNTOWN-00125,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00126,38900.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-TAPAS_DOWNTOWN-00126,PAY-ORD-TAPAS_DOWNTOWN-00126,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00127,35900.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-ROOFTOP_BAR-00127,PAY-ORD-ROOFTOP_BAR-00127,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00128,253600.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00128,PAY-ORD-ROOFTOP_BAR-00128,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00131,337100.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-EVENTS_KITCHEN-00131,PAY-ORD-EVENTS_KITCHEN-00131,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00133,177000.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00133,PAY-ORD-TAPAS_DOWNTOWN-00133,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00134,69600.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-TAPAS_DOWNTOWN-00134,PAY-ORD-TAPAS_DOWNTOWN-00134,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00136,63500.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00136,PAY-ORD-ROOFTOP_BAR-00136,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00137,180400.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-ROOFTOP_BAR-00137,PAY-ORD-ROOFTOP_BAR-00137,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00138,325200.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-ROOFTOP_BAR-00138,PAY-ORD-ROOFTOP_BAR-00138,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00139,16500.00,CARD,COMPLETED,cashier@nimbus.demo,CARD_STUB,PAY-ORD-GARDEN_CAFE-00139,PAY-ORD-GARDEN_CAFE-00139,MANUAL_REFERENCE,VERIFIED,"{""liveProvider"": false}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00140,108700.00,CASH,COMPLETED,cashier@nimbus.demo,MANUAL,PAY-ORD-GARDEN_CAFE-00140,PAY-ORD-GARDEN_CAFE-00140,MANUAL_REFERENCE,NOT_REQUIRED,"{""liveProvider"": false}"
