organizationSlug,branchCode,source,status,sentiment,rating,orderNumber,reservationNumber,customerAlias,comment
nimbus,GARDEN_CAFE,RESERVATION_LINK,NEW,POSITIVE,5,ORD-TAPAS_DOWNTOWN-00075,,Demo Guest 39,Great service
nimbus,ROOFTOP_BAR,QR,NEW,NEGATIVE,4,ORD-EVENTS_KITCHEN-00398,,Demo Guest 40,Food was fresh
nimbus,GARDEN_CAFE,EVENT_LINK,RESOLVED,NEGATIVE,4,ORD-EVENTS_KITCHEN-00338,,Demo Guest 41,Wait was a little long
nimbus,ROOFTOP_BAR,RESERVATION_LINK,NEW,POSITIVE,4,ORD-TAPAS_DOWNTOWN-00701,,Demo Guest 42,Food was fresh
nimbus,TAPAS_DOWNTOWN,QR,RESOLVED,POSITIVE,4,ORD-GARDEN_CAFE-00200,,Demo Guest 43,Fast lunch
nimbus,EVENTS_KITCHEN,QR,RESOLVED,POSITIVE,5,ORD-ROOFTOP_BAR-00770,,Demo Guest 44,Food was fresh
nimbus,ROOFTOP_BAR,RESERVATION_LINK,NEW,POSITIVE,5,ORD-TAPAS_DOWNTOWN-01141,,Demo Guest 45,Fast lunch
nimbus,TAPAS_DOWNTOWN,EVENT_LINK,NEW,NEUTRAL,4,ORD-EVENTS_KITCHEN-00278,,Demo Guest 46,Fast lunch
nimbus,TAPAS_DOWNTOWN,EVENT_LINK,RESOLVED,NEUTRAL,5,ORD-GARDEN_CAFE-00561,,Demo Guest 47,Food was fresh
nimbus,GARDEN_CAFE,RESERVATION_LINK,NEW,POSITIVE,3,ORD-ROOFTOP_BAR-00008,,Demo Guest 48,Loved the ambience
nimbus,TAPAS_DOWNTOWN,EVENT_LINK,ACKNOWLEDGED,POSITIVE,3,ORD-ROOFTOP_BAR-01110,,Demo Guest 49,Great service
nimbus,ROOFTOP_BAR,ORDER_LINK,ACKNOWLEDGED,NEUTRAL,5,ORD-GARDEN_CAFE-00895,,Demo Guest 50,Loved the ambience
nimbus,EVENTS_KITCHEN,QR,RESOLVED,NEGATIVE,5,ORD-TAPAS_DOWNTOWN-00785,,Demo Guest 51,Wait was a little long
nimbus,ROOFTOP_BAR,QR,NEW,POSITIVE,3,ORD-TAPAS_DOWNTOWN-00101,,Demo Guest 52,Fast lunch
nimbus,GARDEN_CAFE,RESERVATION_LINK,NEW,POSITIVE,5,ORD-GARDEN_CAFE-00633,,Demo Guest 53,Great service
nimbus,EVENTS_KITCHEN,ORDER_LINK,NEW,POSITIVE,4,ORD-TAPAS_DOWNTOWN-00806,,Demo Guest 54,Food was fresh
nimbus,TAPAS_DOWNTOWN,QR,NEW,POSITIVE,5,ORD-EVENTS_KITCHEN-00280,,Demo Guest 55,Great service
nimbus,GARDEN_CAFE,QR,RESOLVED,NEGATIVE,4,ORD-TAPAS_DOWNTOWN-00665,,Demo Guest 56,Loved the ambience
nimbus,ROOFTOP_BAR,ORDER_LINK,NEW,NEUTRAL,3,ORD-TAPAS_DOWNTOWN-00565,,Demo Guest 57,Fast lunch
nimbus,GARDEN_CAFE,QR,ACKNOWLEDGED,NEGATIVE,4,ORD-EVENTS_KITCHEN-00142,,Demo Guest 58,Wait was a little long
nimbus,TAPAS_DOWNTOWN,RESERVATION_LINK,RESOLVED,NEUTRAL,4,ORD-EVENTS_KITCHEN-01017,,Demo Guest 59,Loved the ambience
nimbus,TAPAS_DOWNTOWN,QR,NEW,POSITIVE,5,ORD-GARDEN_CAFE-00214,,Demo Guest 60,Food was fresh
nimbus,GARDEN_CAFE,QR,NEW,NEGATIVE,5,ORD-ROOFTOP_BAR-01076,,Demo Guest 61,Wait was a little long
nimbus,GARDEN_CAFE,QR,RESOLVED,POSITIVE,4,ORD-EVENTS_KITCHEN-00024,,Demo Guest 62,Food was fresh
nimbus,GARDEN_CAFE,ORDER_LINK,NEW,NEUTRAL,4,ORD-EVENTS_KITCHEN-00742,,Demo Guest 63,Food was fresh
nimbus,GARDEN_CAFE,ORDER_LINK,ACKNOWLEDGED,POSITIVE,4,ORD-GARDEN_CAFE-01013,,Demo Guest 64,Wait was a little long
nimbus,EVENTS_KITCHEN,RESERVATION_LINK,ACKNOWLEDGED,NEGATIVE,5,ORD-ROOFTOP_BAR-00497,,Demo Guest 65,Loved the ambience
nimbus,ROOFTOP_BAR,ORDER_LINK,ACKNOWLEDGED,NEUTRAL,5,ORD-ROOFTOP_BAR-00769,,Demo Guest 66,Wait was a little long
nimbus,TAPAS_DOWNTOWN,ORDER_LINK,ACKNOWLEDGED,NEUTRAL,5,ORD-TAPAS_DOWNTOWN-00342,,Demo Guest 67,Fast lunch
nimbus,ROOFTOP_BAR,EVENT_LINK,NEW,NEGATIVE,5,ORD-ROOFTOP_BAR-00409,,Demo Guest 68,Loved the ambience
nimbus,GARDEN_CAFE,QR,RESOLVED,POSITIVE,3,ORD-TAPAS_DOWNTOWN-00795,,Demo Guest 69,Loved the ambience
nimbus,EVENTS_KITCHEN,QR,RESOLVED,POSITIVE,4,ORD-TAPAS_DOWNTOWN-00584,,Demo Guest 70,Food was fresh
nimbus,ROOFTOP_BAR,RESERVATION_LINK,RESOLVED,POSITIVE,4,ORD-EVENTS_KITCHEN-00118,,Demo Guest 71,Loved the ambience
nimbus,ROOFTOP_BAR,RESERVATION_LINK,NEW,POSITIVE,3,ORD-TAPAS_DOWNTOWN-00555,,Demo Guest 72,Food was fresh
nimbus,ROOFTOP_BAR,EVENT_LINK,NEW,POSITIVE,4,ORD-TAPAS_DOWNTOWN-01143,,Demo Guest 73,Great service
nimbus,TAPAS_DOWNTOWN,EVENT_LINK,NEW,NEUTRAL,3,ORD-ROOFTOP_BAR-00376,,Demo Guest 74,Food was fresh
nimbus,ROOFTOP_BAR,EVENT_LINK,RESOLVED,NEGATIVE,5,ORD-EVENTS_KITCHEN-00397,,Demo Guest 75,Fast lunch
nimbus,TAPAS_DOWNTOWN,QR,RESOLVED,NEGATIVE,4,ORD-GARDEN_CAFE-01058,,Demo Guest 76,Great service
nimbus,ROOFTOP_BAR,EVENT_LINK,NEW,POSITIVE,3,ORD-EVENTS_KITCHEN-00802,,Demo Guest 77,Wait was a little long
nimbus,ROOFTOP_BAR,EVENT_LINK,RESOLVED,POSITIVE,4,ORD-ROOFTOP_BAR-00947,,Demo Guest 78,Great service
nimbus,GARDEN_CAFE,ORDER_LINK,NEW,POSITIVE,5,ORD-GARDEN_CAFE-00319,,Demo Guest 79,Loved the ambience
nimbus,TAPAS_DOWNTOWN,EVENT_LINK,ACKNOWLEDGED,NEGATIVE,4,ORD-ROOFTOP_BAR-00406,,Demo Guest 80,Food was fresh
