organizationSlug,branchCode,shiftNumber,tillNumber,operatorEmail,openingFloat,status,openedAt,closedAt,expectedCash,countedCash,variance
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-001,TILL-ROOFTOP_BAR-001,cashier@nimbus.demo,250000.00,CLOSED,2026-06-10T12:00:00Z,2026-06-10T21:00:00Z,1034984.00,746477.00,-3000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-002,TILL-ROOFTOP_BAR-002,cashier@nimbus.demo,250000.00,CLOSED,2026-06-11T12:00:00Z,2026-06-11T21:00:00Z,1394744.00,970627.00,5000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-003,TILL-ROOFTOP_BAR-003,cashier@nimbus.demo,250000.00,CLOSED,2026-06-12T12:00:00Z,2026-06-12T21:00:00Z,526674.00,1104233.00,0.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-004,TILL-ROOFTOP_BAR-004,cashier@nimbus.demo,250000.00,CLOSED,2026-06-13T12:00:00Z,2026-06-13T21:00:00Z,1271990.00,838039.00,-3000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-005,TILL-ROOFTOP_BAR-005,cashier@nimbus.demo,250000.00,CLOSED,2026-06-14T12:00:00Z,2026-06-14T21:00:00Z,1201705.00,489323.00,0.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-006,TILL-ROOFTOP_BAR-006,cashier@nimbus.demo,250000.00,CLOSED,2026-06-15T12:00:00Z,2026-06-15T21:00:00Z,628162.00,1195264.00,-3000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-007,TILL-ROOFTOP_BAR-007,cashier@nimbus.demo,250000.00,CLOSED,2026-06-16T12:00:00Z,2026-06-16T21:00:00Z,467619.00,464858.00,0.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-008,TILL-ROOFTOP_BAR-008,cashier@nimbus.demo,250000.00,CLOSED,2026-06-17T12:00:00Z,2026-06-17T21:00:00Z,494077.00,683370.00,8000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-009,TILL-ROOFTOP_BAR-009,cashier@nimbus.demo,250000.00,CLOSED,2026-06-18T12:00:00Z,2026-06-18T21:00:00Z,1158853.00,1441071.00,8000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-010,TILL-ROOFTOP_BAR-010,cashier@nimbus.demo,250000.00,CLOSED,2026-06-19T12:00:00Z,2026-06-19T21:00:00Z,1188025.00,1199871.00,0.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-011,TILL-ROOFTOP_BAR-011,cashier@nimbus.demo,250000.00,CLOSED,2026-06-20T12:00:00Z,2026-06-20T21:00:00Z,1283669.00,1201749.00,5000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-012,TILL-ROOFTOP_BAR-012,cashier@nimbus.demo,250000.00,CLOSED,2026-06-21T12:00:00Z,2026-06-21T21:00:00Z,487747.00,1280808.00,-3000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-013,TILL-ROOFTOP_BAR-013,cashier@nimbus.demo,250000.00,CLOSED,2026-06-22T12:00:00Z,2026-06-22T21:00:00Z,821748.00,1047346.00,0.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-014,TILL-ROOFTOP_BAR-014,cashier@nimbus.demo,250000.00,CLOSED,2026-06-23T12:00:00Z,2026-06-23T21:00:00Z,898178.00,1423187.00,5000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-015,TILL-ROOFTOP_BAR-015,cashier@nimbus.demo,250000.00,CLOSED,2026-06-24T12:00:00Z,2026-06-24T21:00:00Z,907547.00,471235.00,0.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-016,TILL-ROOFTOP_BAR-016,cashier@nimbus.demo,250000.00,CLOSED,2026-06-25T12:00:00Z,2026-06-25T21:00:00Z,892339.00,1027657.00,0.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-017,TILL-ROOFTOP_BAR-017,cashier@nimbus.demo,250000.00,CLOSED,2026-06-26T12:00:00Z,2026-06-26T21:00:00Z,1091724.00,1375105.00,0.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-018,TILL-ROOFTOP_BAR-018,cashier@nimbus.demo,250000.00,CLOSED,2026-06-27T12:00:00Z,2026-06-27T21:00:00Z,784802.00,489662.00,-3000.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-019,TILL-ROOFTOP_BAR-019,cashier@nimbus.demo,250000.00,CLOSED,2026-06-28T12:00:00Z,2026-06-28T21:00:00Z,1305335.00,1133954.00,0.00
nimbus,ROOFTOP_BAR,SH-ROOFTOP_BAR-020,TILL-ROOFTOP_BAR-020,cashier@nimbus.demo,250000.00,OPEN,2026-06-29T12:00:00Z,,480018.00,,
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-001,TILL-GARDEN_CAFE-001,cashier@nimbus.demo,250000.00,CLOSED,2026-06-10T06:00:00Z,2026-06-10T15:00:00Z,1174980.00,904861.00,0.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-002,TILL-GARDEN_CAFE-002,cashier@nimbus.demo,250000.00,CLOSED,2026-06-11T06:00:00Z,2026-06-11T15:00:00Z,459428.00,946180.00,5000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-003,TILL-GARDEN_CAFE-003,cashier@nimbus.demo,250000.00,CLOSED,2026-06-12T06:00:00Z,2026-06-12T15:00:00Z,1403416.00,901857.00,5000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-004,TILL-GARDEN_CAFE-004,cashier@nimbus.demo,250000.00,CLOSED,2026-06-13T06:00:00Z,2026-06-13T15:00:00Z,1414344.00,646804.00,0.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-005,TILL-GARDEN_CAFE-005,cashier@nimbus.demo,250000.00,CLOSED,2026-06-14T06:00:00Z,2026-06-14T15:00:00Z,726509.00,1278837.00,0.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-006,TILL-GARDEN_CAFE-006,cashier@nimbus.demo,250000.00,CLOSED,2026-06-15T06:00:00Z,2026-06-15T15:00:00Z,715542.00,1271780.00,8000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-007,TILL-GARDEN_CAFE-007,cashier@nimbus.demo,250000.00,CLOSED,2026-06-16T06:00:00Z,2026-06-16T15:00:00Z,1281111.00,1015328.00,0.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-008,TILL-GARDEN_CAFE-008,cashier@nimbus.demo,250000.00,CLOSED,2026-06-17T06:00:00Z,2026-06-17T15:00:00Z,1247303.00,730109.00,8000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-009,TILL-GARDEN_CAFE-009,cashier@nimbus.demo,250000.00,CLOSED,2026-06-18T06:00:00Z,2026-06-18T15:00:00Z,1275172.00,1058564.00,0.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-010,TILL-GARDEN_CAFE-010,cashier@nimbus.demo,250000.00,CLOSED,2026-06-19T06:00:00Z,2026-06-19T15:00:00Z,1267372.00,618440.00,0.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-011,TILL-GARDEN_CAFE-011,cashier@nimbus.demo,250000.00,CLOSED,2026-06-20T06:00:00Z,2026-06-20T15:00:00Z,482839.00,1208649.00,0.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-012,TILL-GARDEN_CAFE-012,cashier@nimbus.demo,250000.00,CLOSED,2026-06-21T06:00:00Z,2026-06-21T15:00:00Z,770900.00,975284.00,0.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-013,TILL-GARDEN_CAFE-013,cashier@nimbus.demo,250000.00,CLOSED,2026-06-22T06:00:00Z,2026-06-22T15:00:00Z,603397.00,754609.00,-3000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-014,TILL-GARDEN_CAFE-014,cashier@nimbus.demo,250000.00,CLOSED,2026-06-23T06:00:00Z,2026-06-23T15:00:00Z,826654.00,450005.00,8000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-015,TILL-GARDEN_CAFE-015,cashier@nimbus.demo,250000.00,CLOSED,2026-06-24T06:00:00Z,2026-06-24T15:00:00Z,715390.00,508723.00,5000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-016,TILL-GARDEN_CAFE-016,cashier@nimbus.demo,250000.00,CLOSED,2026-06-25T06:00:00Z,2026-06-25T15:00:00Z,1070015.00,671230.00,8000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-017,TILL-GARDEN_CAFE-017,cashier@nimbus.demo,250000.00,CLOSED,2026-06-26T06:00:00Z,2026-06-26T15:00:00Z,721814.00,1240881.00,5000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-018,TILL-GARDEN_CAFE-018,cashier@nimbus.demo,250000.00,CLOSED,2026-06-27T06:00:00Z,2026-06-27T15:00:00Z,1415324.00,717789.00,0.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-019,TILL-GARDEN_CAFE-019,cashier@nimbus.demo,250000.00,CLOSED,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,1244401.00,583286.00,-3000.00
nimbus,GARDEN_CAFE,SH-GARDEN_CAFE-020,TILL-GARDEN_CAFE-020,cashier@nimbus.demo,250000.00,OPEN,2026-06-29T06:00:00Z,,780193.00,,
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-001,TILL-EVENTS_KITCHEN-001,cashier@nimbus.demo,250000.00,CLOSED,2026-06-10T06:00:00Z,2026-06-10T15:00:00Z,1364759.00,1071933.00,5000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-002,TILL-EVENTS_KITCHEN-002,cashier@nimbus.demo,250000.00,CLOSED,2026-06-11T06:00:00Z,2026-06-11T15:00:00Z,629596.00,1006559.00,8000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-003,TILL-EVENTS_KITCHEN-003,cashier@nimbus.demo,250000.00,CLOSED,2026-06-12T06:00:00Z,2026-06-12T15:00:00Z,871385.00,1133821.00,0.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-004,TILL-EVENTS_KITCHEN-004,cashier@nimbus.demo,250000.00,CLOSED,2026-06-13T06:00:00Z,2026-06-13T15:00:00Z,696132.00,1131505.00,0.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-005,TILL-EVENTS_KITCHEN-005,cashier@nimbus.demo,250000.00,CLOSED,2026-06-14T06:00:00Z,2026-06-14T15:00:00Z,1159028.00,593242.00,0.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-006,TILL-EVENTS_KITCHEN-006,cashier@nimbus.demo,250000.00,CLOSED,2026-06-15T06:00:00Z,2026-06-15T15:00:00Z,698500.00,1434522.00,-3000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-007,TILL-EVENTS_KITCHEN-007,cashier@nimbus.demo,250000.00,CLOSED,2026-06-16T06:00:00Z,2026-06-16T15:00:00Z,1351886.00,873023.00,0.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-008,TILL-EVENTS_KITCHEN-008,cashier@nimbus.demo,250000.00,CLOSED,2026-06-17T06:00:00Z,2026-06-17T15:00:00Z,825602.00,767483.00,0.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-009,TILL-EVENTS_KITCHEN-009,cashier@nimbus.demo,250000.00,CLOSED,2026-06-18T06:00:00Z,2026-06-18T15:00:00Z,1206755.00,525797.00,8000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-010,TILL-EVENTS_KITCHEN-010,cashier@nimbus.demo,250000.00,CLOSED,2026-06-19T06:00:00Z,2026-06-19T15:00:00Z,530605.00,549961.00,8000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-011,TILL-EVENTS_KITCHEN-011,cashier@nimbus.demo,250000.00,CLOSED,2026-06-20T06:00:00Z,2026-06-20T15:00:00Z,464011.00,679809.00,5000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-012,TILL-EVENTS_KITCHEN-012,cashier@nimbus.demo,250000.00,CLOSED,2026-06-21T06:00:00Z,2026-06-21T15:00:00Z,1302786.00,761398.00,8000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-013,TILL-EVENTS_KITCHEN-013,cashier@nimbus.demo,250000.00,CLOSED,2026-06-22T06:00:00Z,2026-06-22T15:00:00Z,874344.00,457477.00,-3000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-014,TILL-EVENTS_KITCHEN-014,cashier@nimbus.demo,250000.00,CLOSED,2026-06-23T06:00:00Z,2026-06-23T15:00:00Z,795360.00,1174942.00,-3000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-015,TILL-EVENTS_KITCHEN-015,cashier@nimbus.demo,250000.00,CLOSED,2026-06-24T06:00:00Z,2026-06-24T15:00:00Z,766520.00,522833.00,8000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-016,TILL-EVENTS_KITCHEN-016,cashier@nimbus.demo,250000.00,CLOSED,2026-06-25T06:00:00Z,2026-06-25T15:00:00Z,1021955.00,1262053.00,5000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-017,TILL-EVENTS_KITCHEN-017,cashier@nimbus.demo,250000.00,CLOSED,2026-06-26T06:00:00Z,2026-06-26T15:00:00Z,669682.00,909877.00,-3000.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-018,TILL-EVENTS_KITCHEN-018,cashier@nimbus.demo,250000.00,CLOSED,2026-06-27T06:00:00Z,2026-06-27T15:00:00Z,589135.00,1177777.00,0.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-019,TILL-EVENTS_KITCHEN-019,cashier@nimbus.demo,250000.00,CLOSED,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,985619.00,751368.00,0.00
nimbus,EVENTS_KITCHEN,SH-EVENTS_KITCHEN-020,TILL-EVENTS_KITCHEN-020,cashier@nimbus.demo,250000.00,OPEN,2026-06-29T06:00:00Z,,973608.00,,
