organizationSlug,branchCode,label,capacity,status,floorPlanName,metadata
nimbus,TAPAS_DOWNTOWN,TD-16,4,AVAILABLE,Main Dining,"{""x"": 480, ""y"": 180, ""section"": ""Main Dining""}"
nimbus,TAPAS_DOWNTOWN,TD-17,6,AVAILABLE,Patio,"{""x"": 600, ""y"": 180, ""section"": ""Patio""}"
nimbus,TAPAS_DOWNTOWN,TD-18,8,AVAILABLE,Private Room,"{""x"": 0, ""y"": 270, ""section"": ""Private Room""}"
nimbus,TAPAS_DOWNTOWN,TD-19,10,AVAILABLE,Main Dining,"{""x"": 120, ""y"": 270, ""section"": ""Main Dining""}"
nimbus,TAPAS_DOWNTOWN,TD-20,2,AVAILABLE,Patio,"{""x"": 240, ""y"": 270, ""section"": ""Patio""}"
nimbus,TAPAS_DOWNTOWN,TD-21,4,AVAILABLE,Private Room,"{""x"": 360, ""y"": 270, ""section"": ""Private Room""}"
nimbus,TAPAS_DOWNTOWN,TD-22,6,AVAILABLE,Main Dining,"{""x"": 480, ""y"": 270, ""section"": ""Main Dining""}"
nimbus,ROOFTOP_BAR,RB-01,4,AVAILABLE,Sky Deck,"{""x"": 120, ""y"": 0, ""section"": ""Sky Deck""}"
nimbus,ROOFTOP_BAR,RB-02,6,AVAILABLE,Lounge,"{""x"": 240, ""y"": 0, ""section"": ""Lounge""}"
nimbus,ROOFTOP_BAR,RB-03,8,OCCUPIED,Sky Deck,"{""x"": 360, ""y"": 0, ""section"": ""Sky Deck""}"
nimbus,ROOFTOP_BAR,RB-04,10,AVAILABLE,Lounge,"{""x"": 480, ""y"": 0, ""section"": ""Lounge""}"
nimbus,ROOFTOP_BAR,RB-05,2,RESERVED,Sky Deck,"{""x"": 600, ""y"": 0, ""section"": ""Sky Deck""}"
nimbus,ROOFTOP_BAR,RB-06,4,AVAILABLE,Lounge,"{""x"": 0, ""y"": 90, ""section"": ""Lounge""}"
nimbus,ROOFTOP_BAR,RB-07,6,OCCUPIED,Sky Deck,"{""x"": 120, ""y"": 90, ""section"": ""Sky Deck""}"
nimbus,ROOFTOP_BAR,RB-08,8,AVAILABLE,Lounge,"{""x"": 240, ""y"": 90, ""section"": ""Lounge""}"
nimbus,ROOFTOP_BAR,RB-09,10,AVAILABLE,Sky Deck,"{""x"": 360, ""y"": 90, ""section"": ""Sky Deck""}"
nimbus,ROOFTOP_BAR,RB-10,2,AVAILABLE,Lounge,"{""x"": 480, ""y"": 90, ""section"": ""Lounge""}"
nimbus,ROOFTOP_BAR,RB-11,4,OCCUPIED,Sky Deck,"{""x"": 600, ""y"": 90, ""section"": ""Sky Deck""}"
nimbus,ROOFTOP_BAR,RB-12,6,RESERVED,Lounge,"{""x"": 0, ""y"": 180, ""section"": ""Lounge""}"
nimbus,ROOFTOP_BAR,RB-13,8,AVAILABLE,Sky Deck,"{""x"": 120, ""y"": 180, ""section"": ""Sky Deck""}"
nimbus,ROOFTOP_BAR,RB-14,10,AVAILABLE,Lounge,"{""x"": 240, ""y"": 180, ""section"": ""Lounge""}"
nimbus,ROOFTOP_BAR,RB-15,2,AVAILABLE,Sky Deck,"{""x"": 360, ""y"": 180, ""section"": ""Sky Deck""}"
nimbus,ROOFTOP_BAR,RB-16,4,AVAILABLE,Lounge,"{""x"": 480, ""y"": 180, ""section"": ""Lounge""}"
nimbus,GARDEN_CAFE,GC-01,4,AVAILABLE,Garden Room,"{""x"": 120, ""y"": 0, ""section"": ""Garden Room""}"
nimbus,GARDEN_CAFE,GC-02,6,AVAILABLE,Terrace,"{""x"": 240, ""y"": 0, ""section"": ""Terrace""}"
nimbus,GARDEN_CAFE,GC-03,8,OCCUPIED,Garden Room,"{""x"": 360, ""y"": 0, ""section"": ""Garden Room""}"
nimbus,GARDEN_CAFE,GC-04,10,AVAILABLE,Terrace,"{""x"": 480, ""y"": 0, ""section"": ""Terrace""}"
nimbus,GARDEN_CAFE,GC-05,2,RESERVED,Garden Room,"{""x"": 600, ""y"": 0, ""section"": ""Garden Room""}"
nimbus,GARDEN_CAFE,GC-06,4,AVAILABLE,Terrace,"{""x"": 0, ""y"": 90, ""section"": ""Terrace""}"
nimbus,GARDEN_CAFE,GC-07,6,OCCUPIED,Garden Room,"{""x"": 120, ""y"": 90, ""section"": ""Garden Room""}"
nimbus,GARDEN_CAFE,GC-08,8,AVAILABLE,Terrace,"{""x"": 240, ""y"": 90, ""section"": ""Terrace""}"
nimbus,GARDEN_CAFE,GC-09,10,AVAILABLE,Garden Room,"{""x"": 360, ""y"": 90, ""section"": ""Garden Room""}"
nimbus,GARDEN_CAFE,GC-10,2,AVAILABLE,Terrace,"{""x"": 480, ""y"": 90, ""section"": ""Terrace""}"
nimbus,GARDEN_CAFE,GC-11,4,OCCUPIED,Garden Room,"{""x"": 600, ""y"": 90, ""section"": ""Garden Room""}"
nimbus,GARDEN_CAFE,GC-12,6,RESERVED,Terrace,"{""x"": 0, ""y"": 180, ""section"": ""Terrace""}"
nimbus,GARDEN_CAFE,GC-13,8,AVAILABLE,Garden Room,"{""x"": 120, ""y"": 180, ""section"": ""Garden Room""}"
nimbus,GARDEN_CAFE,GC-14,10,AVAILABLE,Terrace,"{""x"": 240, ""y"": 180, ""section"": ""Terrace""}"
nimbus,GARDEN_CAFE,GC-15,2,AVAILABLE,Garden Room,"{""x"": 360, ""y"": 180, ""section"": ""Garden Room""}"
nimbus,GARDEN_CAFE,GC-16,4,AVAILABLE,Terrace,"{""x"": 480, ""y"": 180, ""section"": ""Terrace""}"
nimbus,GARDEN_CAFE,GC-17,6,AVAILABLE,Garden Room,"{""x"": 600, ""y"": 180, ""section"": ""Garden Room""}"
nimbus,GARDEN_CAFE,GC-18,8,AVAILABLE,Terrace,"{""x"": 0, ""y"": 270, ""section"": ""Terrace""}"
nimbus,EVENTS_KITCHEN,EV-01,4,AVAILABLE,Banquet Hall,"{""x"": 120, ""y"": 0, ""section"": ""Banquet Hall""}"
nimbus,EVENTS_KITCHEN,EV-02,6,AVAILABLE,Breakout Room,"{""x"": 240, ""y"": 0, ""section"": ""Breakout Room""}"
nimbus,EVENTS_KITCHEN,EV-03,8,OCCUPIED,Banquet Hall,"{""x"": 360, ""y"": 0, ""section"": ""Banquet Hall""}"
nimbus,EVENTS_KITCHEN,EV-04,10,AVAILABLE,Breakout Room,"{""x"": 480, ""y"": 0, ""section"": ""Breakout Room""}"
nimbus,EVENTS_KITCHEN,EV-05,2,RESERVED,Banquet Hall,"{""x"": 600, ""y"": 0, ""section"": ""Banquet Hall""}"
nimbus,EVENTS_KITCHEN,EV-06,4,AVAILABLE,Breakout Room,"{""x"": 0, ""y"": 90, ""section"": ""Breakout Room""}"
nimbus,EVENTS_KITCHEN,EV-07,6,OCCUPIED,Banquet Hall,"{""x"": 120, ""y"": 90, ""section"": ""Banquet Hall""}"
nimbus,EVENTS_KITCHEN,EV-08,8,AVAILABLE,Breakout Room,"{""x"": 240, ""y"": 90, ""section"": ""Breakout Room""}"
nimbus,EVENTS_KITCHEN,EV-09,10,AVAILABLE,Banquet Hall,"{""x"": 360, ""y"": 90, ""section"": ""Banquet Hall""}"
nimbus,EVENTS_KITCHEN,EV-10,2,AVAILABLE,Breakout Room,"{""x"": 480, ""y"": 90, ""section"": ""Breakout Room""}"
nimbus,EVENTS_KITCHEN,EV-11,4,OCCUPIED,Banquet Hall,"{""x"": 600, ""y"": 90, ""section"": ""Banquet Hall""}"
nimbus,EVENTS_KITCHEN,EV-12,6,RESERVED,Breakout Room,"{""x"": 0, ""y"": 180, ""section"": ""Breakout Room""}"
