organizationSlug,branchCode,orderNumber,userEmail,serviceType,status,subtotal,tax,discount,total,tableLabel,notes,metadata
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00018,supervisor@nimbus.demo,DINE_IN,NEW,165400.00,29800.00,0.00,195200.00,RB-04,,"{""createdAt"": ""2026-04-03T10:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00019,supervisor@nimbus.demo,DINE_IN,READY,75200.00,12900.00,3800.00,84300.00,GC-11,,"{""createdAt"": ""2026-04-03T09:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00020,supervisor@nimbus.demo,DINE_IN,READY,211500.00,38100.00,0.00,249600.00,GC-05,,"{""createdAt"": ""2026-04-03T10:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00021,waiter@nimbus.demo,DINE_IN,SENT,96000.00,17300.00,0.00,113300.00,GC-06,,"{""createdAt"": ""2026-04-03T07:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00022,cashier@nimbus.demo,DINE_IN,CLOSED,217600.00,39200.00,0.00,256800.00,EV-10,,"{""createdAt"": ""2026-04-03T17:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00023,supervisor@nimbus.demo,DINE_IN,CLOSED,224200.00,40400.00,0.00,264600.00,EV-09,,"{""createdAt"": ""2026-04-03T10:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00024,supervisor@nimbus.demo,DINE_IN,CLOSED,283200.00,51000.00,0.00,334200.00,EV-11,,"{""createdAt"": ""2026-04-03T07:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00025,waiter@nimbus.demo,DINE_IN,CLOSED,42000.00,7600.00,0.00,49600.00,TD-04,,"{""createdAt"": ""2026-04-04T15:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00026,waiter@nimbus.demo,DINE_IN,NEW,148000.00,26600.00,0.00,174600.00,TD-08,,"{""createdAt"": ""2026-04-04T09:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00027,cashier@nimbus.demo,TAKEAWAY,CLOSED,16000.00,2900.00,0.00,18900.00,,,"{""createdAt"": ""2026-04-04T09:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00028,cashier@nimbus.demo,TAKEAWAY,CLOSED,32000.00,5800.00,0.00,37800.00,,,"{""createdAt"": ""2026-04-04T10:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00029,supervisor@nimbus.demo,TAKEAWAY,SERVED,257600.00,44000.00,12900.00,288700.00,,,"{""createdAt"": ""2026-04-04T10:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00030,cashier@nimbus.demo,TAKEAWAY,SERVED,46400.00,8400.00,0.00,54800.00,,,"{""createdAt"": ""2026-04-04T15:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00031,cashier@nimbus.demo,DINE_IN,CLOSED,28000.00,4800.00,1400.00,31400.00,RB-13,,"{""createdAt"": ""2026-04-04T10:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00032,waiter@nimbus.demo,TAKEAWAY,CLOSED,40200.00,7200.00,0.00,47400.00,,,"{""createdAt"": ""2026-04-04T07:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00033,waiter@nimbus.demo,DINE_IN,READY,196300.00,35300.00,0.00,231600.00,GC-11,,"{""createdAt"": ""2026-04-04T10:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00034,cashier@nimbus.demo,DINE_IN,READY,129500.00,23300.00,0.00,152800.00,GC-17,,"{""createdAt"": ""2026-04-04T07:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00035,cashier@nimbus.demo,DINE_IN,CLOSED,71600.00,12900.00,0.00,84500.00,GC-01,,"{""createdAt"": ""2026-04-04T07:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00036,waiter@nimbus.demo,TAKEAWAY,SENT,73600.00,13200.00,0.00,86800.00,,,"{""createdAt"": ""2026-04-04T09:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00037,waiter@nimbus.demo,DINE_IN,CLOSED,199400.00,35900.00,0.00,235300.00,EV-08,,"{""createdAt"": ""2026-04-04T09:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00038,cashier@nimbus.demo,DINE_IN,CLOSED,418800.00,75400.00,0.00,494200.00,EV-06,,"{""createdAt"": ""2026-04-04T09:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00039,waiter@nimbus.demo,DINE_IN,CLOSED,158800.00,28600.00,0.00,187400.00,EV-12,,"{""createdAt"": ""2026-04-04T15:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00040,supervisor@nimbus.demo,DINE_IN,READY,198300.00,35700.00,0.00,234000.00,EV-02,,"{""createdAt"": ""2026-04-04T09:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00041,waiter@nimbus.demo,TAKEAWAY,CLOSED,96000.00,17300.00,0.00,113300.00,,,"{""createdAt"": ""2026-04-05T07:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00042,supervisor@nimbus.demo,DINE_IN,CLOSED,364000.00,65500.00,0.00,429500.00,TD-17,,"{""createdAt"": ""2026-04-05T07:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00043,cashier@nimbus.demo,DINE_IN,READY,63000.00,11300.00,0.00,74300.00,TD-11,,"{""createdAt"": ""2026-04-05T15:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00044,supervisor@nimbus.demo,DINE_IN,READY,201000.00,36200.00,0.00,237200.00,TD-15,,"{""createdAt"": ""2026-04-05T09:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00045,cashier@nimbus.demo,DINE_IN,CLOSED,32000.00,5800.00,0.00,37800.00,TD-15,,"{""createdAt"": ""2026-04-05T10:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00046,cashier@nimbus.demo,TAKEAWAY,CLOSED,303500.00,54600.00,0.00,358100.00,,,"{""createdAt"": ""2026-04-05T15:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00047,supervisor@nimbus.demo,TAKEAWAY,CLOSED,234100.00,42100.00,0.00,276200.00,,,"{""createdAt"": ""2026-04-05T15:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00048,supervisor@nimbus.demo,DINE_IN,CLOSED,214200.00,38600.00,0.00,252800.00,RB-15,,"{""createdAt"": ""2026-04-05T07:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00049,waiter@nimbus.demo,DINE_IN,CLOSED,31400.00,5700.00,0.00,37100.00,RB-04,,"{""createdAt"": ""2026-04-05T15:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00050,cashier@nimbus.demo,DINE_IN,SERVED,112100.00,19200.00,5600.00,125700.00,RB-04,,"{""createdAt"": ""2026-04-05T17:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00051,waiter@nimbus.demo,DINE_IN,CLOSED,228300.00,39000.00,11400.00,255900.00,GC-10,,"{""createdAt"": ""2026-04-05T17:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00052,waiter@nimbus.demo,DINE_IN,READY,160900.00,29000.00,0.00,189900.00,GC-14,,"{""createdAt"": ""2026-04-05T07:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00053,waiter@nimbus.demo,DINE_IN,CLOSED,71700.00,12900.00,0.00,84600.00,GC-15,,"{""createdAt"": ""2026-04-05T15:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00054,waiter@nimbus.demo,DINE_IN,CLOSED,231900.00,41700.00,0.00,273600.00,GC-02,,"{""createdAt"": ""2026-04-05T15:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00055,cashier@nimbus.demo,DINE_IN,READY,182800.00,31300.00,9100.00,205000.00,GC-01,,"{""createdAt"": ""2026-04-05T09:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00056,supervisor@nimbus.demo,DINE_IN,SERVED,391500.00,70500.00,0.00,462000.00,EV-02,,"{""createdAt"": ""2026-04-05T07:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00057,supervisor@nimbus.demo,TAKEAWAY,CLOSED,48000.00,8600.00,0.00,56600.00,,,"{""createdAt"": ""2026-04-05T07:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00058,cashier@nimbus.demo,DINE_IN,CLOSED,289200.00,52100.00,0.00,341300.00,EV-09,,"{""createdAt"": ""2026-04-05T15:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00059,supervisor@nimbus.demo,DINE_IN,CLOSED,94600.00,17000.00,0.00,111600.00,EV-03,,"{""createdAt"": ""2026-04-05T15:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00060,waiter@nimbus.demo,DINE_IN,SENT,18900.00,3400.00,0.00,22300.00,EV-02,,"{""createdAt"": ""2026-04-05T09:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00061,cashier@nimbus.demo,TAKEAWAY,READY,216000.00,38900.00,0.00,254900.00,,,"{""createdAt"": ""2026-04-06T07:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00062,cashier@nimbus.demo,DINE_IN,SERVED,90600.00,16300.00,0.00,106900.00,RB-13,,"{""createdAt"": ""2026-04-06T10:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00063,cashier@nimbus.demo,DINE_IN,CLOSED,59800.00,10200.00,3000.00,67000.00,GC-04,,"{""createdAt"": ""2026-04-06T07:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00064,supervisor@nimbus.demo,DINE_IN,READY,247000.00,44500.00,0.00,291500.00,EV-01,,"{""createdAt"": ""2026-04-06T09:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00065,cashier@nimbus.demo,DINE_IN,CLOSED,278000.00,50000.00,0.00,328000.00,TD-07,,"{""createdAt"": ""2026-04-07T09:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00066,cashier@nimbus.demo,DINE_IN,CLOSED,57000.00,10300.00,0.00,67300.00,TD-12,,"{""createdAt"": ""2026-04-07T17:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00067,supervisor@nimbus.demo,DINE_IN,SERVED,26800.00,4800.00,0.00,31600.00,RB-09,,"{""createdAt"": ""2026-04-07T07:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00068,cashier@nimbus.demo,DINE_IN,CLOSED,20200.00,3500.00,1000.00,22700.00,RB-02,,"{""createdAt"": ""2026-04-07T07:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00069,supervisor@nimbus.demo,DINE_IN,CLOSED,199000.00,35800.00,0.00,234800.00,GC-18,,"{""createdAt"": ""2026-04-07T09:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00070,waiter@nimbus.demo,DINE_IN,CLOSED,20200.00,3600.00,0.00,23800.00,GC-18,,"{""createdAt"": ""2026-04-07T17:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00071,waiter@nimbus.demo,DINE_IN,CLOSED,171000.00,30800.00,0.00,201800.00,EV-12,,"{""createdAt"": ""2026-04-07T15:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00072,waiter@nimbus.demo,DINE_IN,CLOSED,28300.00,5100.00,0.00,33400.00,EV-03,,"{""createdAt"": ""2026-04-07T17:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00073,supervisor@nimbus.demo,DINE_IN,CLOSED,141000.00,25400.00,0.00,166400.00,TD-06,,"{""createdAt"": ""2026-04-08T09:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00074,cashier@nimbus.demo,DINE_IN,CLOSED,90000.00,15400.00,4500.00,100900.00,TD-05,,"{""createdAt"": ""2026-04-08T15:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00075,waiter@nimbus.demo,DINE_IN,READY,40000.00,7200.00,0.00,47200.00,TD-22,,"{""createdAt"": ""2026-04-08T09:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00076,waiter@nimbus.demo,DINE_IN,CLOSED,53700.00,9700.00,0.00,63400.00,RB-01,,"{""createdAt"": ""2026-04-08T15:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00077,waiter@nimbus.demo,TAKEAWAY,NEW,128700.00,22000.00,6400.00,144300.00,,,"{""createdAt"": ""2026-04-08T07:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00078,waiter@nimbus.demo,DINE_IN,SERVED,80700.00,14500.00,0.00,95200.00,RB-10,,"{""createdAt"": ""2026-04-08T17:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00079,supervisor@nimbus.demo,DINE_IN,CLOSED,231700.00,41700.00,0.00,273400.00,GC-09,,"{""createdAt"": ""2026-04-08T09:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00080,supervisor@nimbus.demo,DINE_IN,CLOSED,209500.00,37700.00,0.00,247200.00,GC-09,,"{""createdAt"": ""2026-04-08T09:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00081,supervisor@nimbus.demo,DINE_IN,CLOSED,60000.00,10800.00,0.00,70800.00,GC-17,,"{""createdAt"": ""2026-04-08T10:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00082,supervisor@nimbus.demo,DINE_IN,CLOSED,167700.00,30200.00,0.00,197900.00,EV-08,,"{""createdAt"": ""2026-04-08T10:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00083,supervisor@nimbus.demo,TAKEAWAY,CLOSED,120000.00,21600.00,0.00,141600.00,,,"{""createdAt"": ""2026-04-08T15:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00084,cashier@nimbus.demo,DINE_IN,SERVED,152000.00,27400.00,0.00,179400.00,EV-03,,"{""createdAt"": ""2026-04-08T07:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00085,supervisor@nimbus.demo,DINE_IN,CLOSED,90000.00,16200.00,0.00,106200.00,TD-19,,"{""createdAt"": ""2026-04-09T07:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00086,supervisor@nimbus.demo,DINE_IN,READY,162000.00,29200.00,0.00,191200.00,TD-15,,"{""createdAt"": ""2026-04-09T17:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00087,supervisor@nimbus.demo,DINE_IN,CLOSED,106000.00,19100.00,0.00,125100.00,TD-02,,"{""createdAt"": ""2026-04-09T07:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00088,supervisor@nimbus.demo,DINE_IN,CLOSED,32000.00,5800.00,0.00,37800.00,TD-07,,"{""createdAt"": ""2026-04-09T10:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00089,waiter@nimbus.demo,TAKEAWAY,CLOSED,48000.00,8600.00,0.00,56600.00,,,"{""createdAt"": ""2026-04-09T07:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00090,supervisor@nimbus.demo,DINE_IN,CLOSED,60000.00,10800.00,0.00,70800.00,RB-12,,"{""createdAt"": ""2026-04-09T07:30:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00091,supervisor@nimbus.demo,DINE_IN,CLOSED,47000.00,8000.00,2400.00,52600.00,RB-04,,"{""createdAt"": ""2026-04-09T07:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,ROOFTOP_BAR,ORD-ROOFTOP_BAR-00092,supervisor@nimbus.demo,DINE_IN,SERVED,116000.00,19800.00,5800.00,130000.00,RB-01,,"{""createdAt"": ""2026-04-09T15:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00093,waiter@nimbus.demo,DINE_IN,CLOSED,174800.00,31500.00,0.00,206300.00,GC-15,,"{""createdAt"": ""2026-04-09T17:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00094,supervisor@nimbus.demo,DINE_IN,CLOSED,221800.00,39900.00,0.00,261700.00,GC-01,,"{""createdAt"": ""2026-04-09T09:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00095,waiter@nimbus.demo,DINE_IN,SERVED,116100.00,19900.00,5800.00,130200.00,GC-15,,"{""createdAt"": ""2026-04-09T15:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,GARDEN_CAFE,ORD-GARDEN_CAFE-00096,waiter@nimbus.demo,DINE_IN,CLOSED,64000.00,11500.00,0.00,75500.00,GC-04,,"{""createdAt"": ""2026-04-09T09:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00097,supervisor@nimbus.demo,TAKEAWAY,CLOSED,322400.00,55100.00,16100.00,361400.00,,,"{""createdAt"": ""2026-04-09T17:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00098,supervisor@nimbus.demo,DINE_IN,CLOSED,294800.00,50400.00,14700.00,330500.00,EV-01,,"{""createdAt"": ""2026-04-09T17:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00099,cashier@nimbus.demo,DINE_IN,NEW,108000.00,19400.00,0.00,127400.00,EV-03,,"{""createdAt"": ""2026-04-09T07:20:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00100,waiter@nimbus.demo,DINE_IN,CLOSED,56600.00,10200.00,0.00,66800.00,EV-02,,"{""createdAt"": ""2026-04-09T17:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00101,cashier@nimbus.demo,DINE_IN,CLOSED,63000.00,11300.00,0.00,74300.00,TD-20,,"{""createdAt"": ""2026-04-10T09:10:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00102,cashier@nimbus.demo,TAKEAWAY,SERVED,112000.00,20200.00,0.00,132200.00,,,"{""createdAt"": ""2026-04-10T17:00:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00103,cashier@nimbus.demo,DINE_IN,READY,182000.00,31100.00,9100.00,204000.00,TD-19,,"{""createdAt"": ""2026-04-10T07:45:00Z"", ""demoSource"": ""generated-pack""}"
nimbus,TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00104,cashier@nimbus.demo,DINE_IN,CLOSED,129000.00,22100.00,6400.00,144700.00,TD-01,,"{""createdAt"": ""2026-04-10T09:30:00Z"", ""demoSource"": ""generated-pack""}"
