organizationSlug,branchCode,name,counterpartyType,status,contactName,email,phone,paymentTermDays,metadata
nimbus,ROOFTOP_BAR,Cloud Apps Demo,SUBSCRIPTION_VENDOR,ACTIVE,Demo Contact 10,supplier10.rooftop_bar@nimbus.demo,+256701632512,14,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,Fresh Fields Produce,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 1,supplier1.garden_cafe@nimbus.demo,+256701741395,14,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,Lake Harvest Foods,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 2,supplier2.garden_cafe@nimbus.demo,+256701812349,21,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,Prime Poultry Demo,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 3,supplier3.garden_cafe@nimbus.demo,+256701453159,28,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,Kampala Dry Goods,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 4,supplier4.garden_cafe@nimbus.demo,+256701989703,14,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,Cafe Bean Collective,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 5,supplier5.garden_cafe@nimbus.demo,+256701305595,21,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,Skyline Beverage Supply,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 6,supplier6.garden_cafe@nimbus.demo,+256701624647,28,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,CleanOps Services,SERVICE_PROVIDER,ACTIVE,Demo Contact 7,supplier7.garden_cafe@nimbus.demo,+256701637958,14,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,Kampala Utilities Demo,UTILITY_PROVIDER,ACTIVE,Demo Contact 8,supplier8.garden_cafe@nimbus.demo,+256701644123,21,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,Event Rentals Demo,SERVICE_PROVIDER,ACTIVE,Demo Contact 9,supplier9.garden_cafe@nimbus.demo,+256701613735,28,"{""demoSupplier"": true}"
nimbus,GARDEN_CAFE,Cloud Apps Demo,SUBSCRIPTION_VENDOR,ACTIVE,Demo Contact 10,supplier10.garden_cafe@nimbus.demo,+256701984635,14,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,Fresh Fields Produce,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 1,supplier1.events_kitchen@nimbus.demo,+256701949167,14,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,Lake Harvest Foods,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 2,supplier2.events_kitchen@nimbus.demo,+256701751514,21,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,Prime Poultry Demo,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 3,supplier3.events_kitchen@nimbus.demo,+256701621336,28,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,Kampala Dry Goods,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 4,supplier4.events_kitchen@nimbus.demo,+256701731773,14,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,Cafe Bean Collective,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 5,supplier5.events_kitchen@nimbus.demo,+256701286816,21,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,Skyline Beverage Supply,INVENTORY_SUPPLIER,ACTIVE,Demo Contact 6,supplier6.events_kitchen@nimbus.demo,+256701416391,28,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,CleanOps Services,SERVICE_PROVIDER,ACTIVE,Demo Contact 7,supplier7.events_kitchen@nimbus.demo,+256701695028,14,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,Kampala Utilities Demo,UTILITY_PROVIDER,ACTIVE,Demo Contact 8,supplier8.events_kitchen@nimbus.demo,+256701670909,21,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,Event Rentals Demo,SERVICE_PROVIDER,ACTIVE,Demo Contact 9,supplier9.events_kitchen@nimbus.demo,+256701346190,28,"{""demoSupplier"": true}"
nimbus,EVENTS_KITCHEN,Cloud Apps Demo,SUBSCRIPTION_VENDOR,ACTIVE,Demo Contact 10,supplier10.events_kitchen@nimbus.demo,+256701767211,14,"{""demoSupplier"": true}"
