organizationSlug,branchCode,employeeCode,workDate,status,clockInAt,clockOutAt,minutesWorked,lateMinutes
nimbus,GARDEN_CAFE,EMP-023,2026-06-30,ON_LEAVE,,,,0
nimbus,EVENTS_KITCHEN,EMP-024,2026-06-28,ON_LEAVE,,,,0
nimbus,EVENTS_KITCHEN,EMP-024,2026-06-29,LATE,2026-06-29T06:12:00Z,,,12
nimbus,EVENTS_KITCHEN,EMP-024,2026-06-30,LATE,2026-06-30T06:00:00Z,,,12
nimbus,TAPAS_DOWNTOWN,EMP-025,2026-06-28,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-025,2026-06-29,ON_LEAVE,,,,0
nimbus,TAPAS_DOWNTOWN,EMP-025,2026-06-30,ON_LEAVE,,,,0
nimbus,ROOFTOP_BAR,EMP-026,2026-06-28,ON_LEAVE,,,,0
nimbus,ROOFTOP_BAR,EMP-026,2026-06-29,CLOCKED_OUT,2026-06-29T06:00:00Z,2026-06-29T14:00:00Z,480,0
nimbus,ROOFTOP_BAR,EMP-026,2026-06-30,CLOCKED_OUT,2026-06-30T06:00:00Z,2026-06-30T14:00:00Z,480,0
nimbus,GARDEN_CAFE,EMP-027,2026-06-28,CLOCKED_OUT,2026-06-28T06:00:00Z,2026-06-28T15:00:00Z,540,0
nimbus,GARDEN_CAFE,EMP-027,2026-06-29,ON_LEAVE,,,,0
nimbus,GARDEN_CAFE,EMP-027,2026-06-30,CLOCKED_OUT,2026-06-30T06:05:00Z,2026-06-30T15:05:00Z,540,0
nimbus,EVENTS_KITCHEN,EMP-028,2026-06-28,CLOCKED_OUT,2026-06-28T06:12:00Z,2026-06-28T14:12:00Z,480,0
nimbus,EVENTS_KITCHEN,EMP-028,2026-06-29,LATE,2026-06-29T06:12:00Z,,,12
nimbus,EVENTS_KITCHEN,EMP-028,2026-06-30,CLOCKED_OUT,2026-06-30T06:12:00Z,2026-06-30T15:12:00Z,540,0
nimbus,TAPAS_DOWNTOWN,EMP-029,2026-06-28,LATE,2026-06-28T06:12:00Z,,,12
nimbus,TAPAS_DOWNTOWN,EMP-029,2026-06-29,CLOCKED_OUT,2026-06-29T06:00:00Z,2026-06-29T15:00:00Z,540,0
nimbus,TAPAS_DOWNTOWN,EMP-029,2026-06-30,CLOCKED_OUT,2026-06-30T06:00:00Z,2026-06-30T15:00:00Z,540,0
nimbus,ROOFTOP_BAR,EMP-030,2026-06-28,CLOCKED_OUT,2026-06-28T06:12:00Z,2026-06-28T14:12:00Z,480,0
nimbus,ROOFTOP_BAR,EMP-030,2026-06-29,LATE,2026-06-29T06:05:00Z,,,12
nimbus,ROOFTOP_BAR,EMP-030,2026-06-30,CLOCKED_OUT,2026-06-30T06:05:00Z,2026-06-30T15:05:00Z,540,0
nimbus,GARDEN_CAFE,EMP-031,2026-06-28,CLOCKED_OUT,2026-06-28T06:05:00Z,2026-06-28T14:05:00Z,480,0
nimbus,GARDEN_CAFE,EMP-031,2026-06-29,CLOCKED_OUT,2026-06-29T06:12:00Z,2026-06-29T15:12:00Z,540,0
nimbus,GARDEN_CAFE,EMP-031,2026-06-30,LATE,2026-06-30T06:12:00Z,,,12
nimbus,EVENTS_KITCHEN,EMP-032,2026-06-28,ON_LEAVE,,,,0
nimbus,EVENTS_KITCHEN,EMP-032,2026-06-29,LATE,2026-06-29T06:12:00Z,,,12
nimbus,EVENTS_KITCHEN,EMP-032,2026-06-30,LATE,2026-06-30T06:12:00Z,,,12
nimbus,TAPAS_DOWNTOWN,EMP-033,2026-06-28,CLOCKED_OUT,2026-06-28T06:05:00Z,2026-06-28T15:05:00Z,540,0
nimbus,TAPAS_DOWNTOWN,EMP-033,2026-06-29,CLOCKED_OUT,2026-06-29T06:00:00Z,2026-06-29T15:00:00Z,540,0
nimbus,TAPAS_DOWNTOWN,EMP-033,2026-06-30,CLOCKED_OUT,2026-06-30T06:00:00Z,2026-06-30T15:00:00Z,540,0
nimbus,ROOFTOP_BAR,EMP-034,2026-06-28,LATE,2026-06-28T06:12:00Z,,,12
nimbus,ROOFTOP_BAR,EMP-034,2026-06-29,ON_LEAVE,,,,0
nimbus,ROOFTOP_BAR,EMP-034,2026-06-30,ON_LEAVE,,,,0
nimbus,GARDEN_CAFE,EMP-035,2026-06-28,CLOCKED_OUT,2026-06-28T06:05:00Z,2026-06-28T14:05:00Z,480,0
nimbus,GARDEN_CAFE,EMP-035,2026-06-29,ON_LEAVE,,,,0
nimbus,GARDEN_CAFE,EMP-035,2026-06-30,CLOCKED_OUT,2026-06-30T06:12:00Z,2026-06-30T15:12:00Z,540,0
nimbus,EVENTS_KITCHEN,EMP-036,2026-06-28,LATE,2026-06-28T06:00:00Z,,,12
nimbus,EVENTS_KITCHEN,EMP-036,2026-06-29,ON_LEAVE,,,,0
nimbus,EVENTS_KITCHEN,EMP-036,2026-06-30,ON_LEAVE,,,,0
