branchCode,orderNumber,lineNo,modifierGroupName,modifierOptionName,priceDelta,labelSnapshot
GARDEN_CAFE,ORD-GARDEN_CAFE-00034,1,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00034,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00035,1,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00035,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00036,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00037,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00037,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00038,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00039,3,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00042,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00044,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00044,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00046,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00047,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00048,4,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00050,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00052,1,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00052,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00054,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00055,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00056,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00056,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00058,3,Drink Temperature,Iced,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00058,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00061,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00061,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00066,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00069,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00073,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00076,1,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00077,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00080,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00083,1,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00086,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00086,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00089,1,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00090,1,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00092,3,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00093,1,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00093,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00097,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00097,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00098,1,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00101,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00103,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00108,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00108,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00108,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00109,1,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00111,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00113,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00116,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00121,1,Drink Temperature,Iced,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00124,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00125,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00131,2,Drink Temperature,Iced,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00131,3,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00134,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00135,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00135,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00135,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00137,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00139,1,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00140,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00141,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00142,1,Drink Temperature,Iced,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00143,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00144,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00144,2,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00146,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00152,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00152,4,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00153,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00154,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00157,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00159,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00163,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00164,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00166,1,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00166,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00167,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00169,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00169,2,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00170,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00172,1,Drink Temperature,Iced,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00178,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00181,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00182,1,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00182,3,Drink Temperature,Iced,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00184,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00184,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00188,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00189,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00190,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00191,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00192,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00192,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00195,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00195,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00196,2,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00197,1,Drink Temperature,Iced,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00202,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00203,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00203,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00204,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00205,2,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00205,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00206,1,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00206,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00206,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00207,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00209,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00211,2,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00213,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00214,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00215,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00215,4,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00216,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00220,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00223,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00225,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00226,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00227,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00227,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00233,1,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00235,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00236,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00236,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00241,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00242,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00242,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00243,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00244,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00244,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00245,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00245,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00246,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00246,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00247,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00247,3,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00249,1,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00250,1,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00253,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00254,1,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00259,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00262,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00263,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00265,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00265,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00266,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00266,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00267,1,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00267,3,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00268,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00274,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00277,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00278,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00278,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00279,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00280,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00281,3,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00282,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00282,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00283,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00284,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00285,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00288,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00288,3,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00289,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00291,3,Drink Temperature,Iced,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00293,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00295,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00297,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00297,2,Drink Temperature,Iced,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00299,1,Drink Temperature,Iced,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00299,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00300,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00306,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00309,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00310,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00310,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00310,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00311,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00312,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00314,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00319,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00324,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00328,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00330,1,Drink Temperature,Iced,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00330,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00333,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00333,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00334,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00335,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
GARDEN_CAFE,ORD-GARDEN_CAFE-00336,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00338,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00338,2,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00339,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00340,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00342,2,Drink Temperature,Iced,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00343,4,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00345,1,Sauce Choice,Herb Sauce,0.00,Demo modifier
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00345,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00346,3,Sauce Choice,Herb Sauce,0.00,Demo modifier
